VCF0004,VCF0301,VCF0303,VCF0305,VCF0311,VCF0312,VCF0803,VCF0218,VCF0224,VCF0723,VCF0503,VCF0504,VCF9265,VCF0806,VCF0809,VCF0839,VCF9049,VCF0834,VCF0838,VCF0876a,VCF0110,VCF0105a,VCF0113,VCF0310,VCF0130,VCF0050a,VCF0050b,VCF9255,VCF0729,VCF9036,VCF0104
1978,1,1,4,NA,1,9,85,40,6,NA,NA,NA,9,5,NA,NA,3,NA,NA,2,1,2,3,2,NA,2,NA,2,NA,2
1978,4,2,1,NA,1,9,50,50,1,NA,NA,NA,9,1,NA,NA,1,NA,NA,2,2,1,2,1,NA,3,NA,1,NA,2
1978,4,2,1,NA,1,9,NA,NA,1,NA,NA,NA,7,9,NA,NA,6,NA,NA,2,1,1,1,4,NA,5,NA,1,NA,2
1978,6,3,3,NA,2,9,50,50,1,NA,NA,NA,9,5,NA,NA,5,NA,NA,2,1,1,2,1,NA,2,NA,1,NA,1
1978,6,3,3,NA,2,5,70,85,1,2,5,NA,7,7,NA,NA,1,NA,NA,2,1,2,2,4,NA,2,NA,2,NA,2
1978,6,3,3,NA,2,6,NA,70,3,2,4,NA,6,4,NA,NA,1,NA,NA,2,1,2,3,2,NA,1,NA,2,NA,1
1978,1,1,4,NA,2,2,70,30,1,2,6,NA,3,1,NA,NA,5,NA,NA,2,1,1,3,1,NA,2,NA,2,NA,1
1978,7,3,4,NA,2,7,50,97,1,NA,NA,NA,1,7,NA,NA,1,NA,NA,1,1,1,2,NA,NA,3,NA,2,NA,1
1978,4,2,1,NA,2,9,NA,NA,1,NA,NA,NA,9,4,NA,NA,4,NA,NA,2,1,2,2,4,NA,3,NA,2,NA,2
1978,7,3,4,NA,2,6,30,85,1,3,7,NA,7,9,NA,NA,1,NA,NA,3,1,2,1,5,NA,3,NA,1,NA,2
1978,3,1,2,NA,2,3,85,85,1,3,6,NA,5,6,NA,NA,1,NA,NA,4,1,2,3,1,NA,1,NA,2,NA,1
1978,7,3,4,NA,2,4,NA,NA,1,4,4,NA,9,9,NA,NA,5,NA,NA,2,1,2,2,2,NA,3,NA,2,NA,2
