RecordedDate,comments,party_id,lean_party,r_loss,r_win
Recorded Date,Please leave any comments you may have in the box below.,"Generally speaking, do you think of yourself as a Republican, a Democrat, an Independent, or what?",Do you consider yourself closer to the Democratic or Republican party?,"Unfortunately, your selected candidate, [QID22-ChoiceGroup-SelectedChoices], lost the [QID1-ChoiceGroup-SelectedChoices] Party primary. 

Your candidate's opponent, [QID22-ChoiceGroup-UnselectedChoices] will represent the Republican Party in the General Election.","Congratulations! Your selected candidate, [QID22-ChoiceGroup-SelectedChoices], won the Republican Party primary. 

Your candidate, [QID22-ChoiceGroup-SelectedChoices], will represent the Republican Party in the General Election."
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}"
2021-08-20 11:46:33,NICE STUDY,2,,,
2021-08-20 11:46:34,,2,,,
2021-08-20 11:46:36,good,2,,,
2021-08-20 11:46:40,good,2,,,
2021-08-20 11:46:41,nice survey,3,1,,
2021-08-20 11:46:43,"The survey is very interesting ",1,,,
2021-08-20 11:46:47,None,1,,,
2021-08-20 11:46:54,good,1,,,
2021-08-20 11:46:55,OK,2,,,
2021-08-20 11:47:03,survey is good,2,,,
2021-08-20 11:47:04,No comments,1,,,1
2021-08-20 11:47:06,good,2,,,
2021-08-20 11:47:08,nice,2,,,
2021-08-20 11:47:11,good and nice,2,,,
2021-08-20 11:47:14,Good Survey,2,,,
2021-08-20 11:47:22,Good,2,,,
2021-08-20 11:47:22,None,2,,,
2021-08-20 11:47:24,,2,,,
2021-08-20 11:47:26,No comments,2,,,
2021-08-20 11:47:32,good,2,,,
2021-08-20 11:47:32,survey is good,2,,,
2021-08-20 11:47:32,good,2,,,
2021-08-20 11:47:36,,2,,,
2021-08-20 11:47:39,good,2,,,
2021-08-20 11:47:39,None,1,,1,
2021-08-20 11:47:40,good,2,,,
2021-08-20 11:47:40,Good Survey,2,,,
2021-08-20 11:47:45,none,2,,,
2021-08-20 11:48:01,very well,2,,,
2021-08-20 11:48:06,good,2,,,
2021-08-20 11:48:10,,2,,,
2021-08-20 11:48:13,,1,,,1
2021-08-20 11:48:16,good,2,,,
