ckey,rkey,cdate,rdate,cr11,cr12,cr17,rr17,cr18,rr18,cv01,rv01,cv02,rv02
20110042935,20110042935,20000118,20000128,NA,1,NA,NA,NA,NA,2,NA,2,NA
20110042955,20110042955,19991214,20000129,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110042972,20110042972,20000121,20000129,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20110042986,20110042986,19991219,20000127,998,NA,NA,NA,NA,NA,1,NA,2,NA
20110042989,20110042989,19991221,20000127,3,NA,NA,3,NA,NA,1,NA,2,NA
20110043027,20110043027,19991218,20000127,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20110043055,20110043055,20000106,20000201,NA,2,NA,NA,NA,NA,2,NA,2,NA
20110043065,20110043065,20000121,20000128,NA,2,NA,NA,NA,2,2,NA,1,NA
20110043069,20110043069,20000119,20000131,2,NA,NA,NA,NA,NA,3,NA,1,NA
20110043072,20110043072,20000103,20000129,NA,1,NA,NA,NA,NA,2,NA,1,NA
20110043077,20110043077,20000120,20000213,NA,2,NA,NA,NA,1,2,NA,1,NA
20110043081,20110043081,20000121,20000210,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20110043114,20110043114,19991220,20000129,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110043117,20110043117,19991222,20000128,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110043123,20110043123,19991228,20000201,3,NA,NA,NA,NA,NA,3,NA,1,NA
20110043132,20110043132,19991221,20000212,NA,1,NA,NA,NA,NA,3,NA,2,NA
20110043133,20110043133,19991217,20000211,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110043139,20110043139,19991228,20000206,NA,1,NA,NA,NA,NA,3,NA,1,NA
20110043181,20110043181,20000120,20000203,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110043186,20110043186,20000121,20000205,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20110043201,20110043201,20000120,20000211,3,NA,NA,NA,NA,NA,2,NA,2,NA
20110043242,20110043242,20000120,20000213,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20110043256,20110043256,19991226,20000126,NA,1,NA,NA,NA,1,2,NA,2,NA
20110043263,20110043263,19991229,20000205,2,NA,NA,NA,NA,NA,1,NA,1,NA
20110043266,20110043266,20000103,20000202,NA,1,NA,NA,NA,NA,3,NA,2,NA
20110043268,20110043268,19991215,20000131,NA,NA,NA,NA,NA,NA,3,NA,998,NA
20110043272,20110043272,19991218,20000129,998,NA,NA,NA,NA,NA,3,NA,1,NA
20110043298,20110043298,20000120,20000201,6,NA,NA,NA,NA,NA,1,NA,2,NA
20110043299,20110043299,20000120,20000205,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110043327,20110043327,20000119,20000129,6,NA,NA,6,NA,NA,3,NA,1,NA
20110043335,20110043335,20000120,20000213,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20110043353,20110043353,20000119,20000127,NA,NA,NA,NA,NA,1,2,NA,1,NA
20110043355,20110043355,20000119,20000127,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110043359,20110043359,20000123,20000130,NA,1,NA,NA,NA,1,2,NA,1,NA
20110043378,20110043378,19991230,20000203,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20110043397,20110043397,20000122,20000129,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110043401,20110043401,20000121,20000126,2,NA,NA,2,NA,NA,1,NA,1,NA
20110043418,20110043418,20000119,20000203,NA,2,NA,NA,NA,2,2,NA,1,NA
20110043471,20110043471,20000109,20000127,2,NA,NA,2,NA,NA,1,NA,1,NA
20110043533,20110043533,19991230,20000212,NA,2,NA,NA,NA,2,2,NA,1,NA
20110043558,20110043558,20000117,20000202,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20110043574,20110043574,20000119,20000213,2,NA,NA,NA,NA,NA,3,NA,1,NA
20110043582,20110043582,20000120,20000203,NA,NA,NA,NA,NA,1,2,NA,1,NA
20110043587,20110043587,20000121,20000129,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20110043601,20110043601,19991222,20000202,2,NA,NA,2,NA,NA,3,NA,1,NA
20110043603,20110043603,20000103,20000127,NA,1,NA,NA,NA,NA,2,NA,2,NA
