ckey,rkey,cdate,rdate,cr11,cr12,cr17,rr17,cr18,rr18,cv01,rv01,cv02,rv02
20310218600,20310218600,20000221,20000324,6,NA,NA,2,NA,NA,1,NA,2,NA
20310218607,20310218607,20000221,20000322,NA,2,NA,NA,NA,NA,2,NA,1,NA
20310218612,20310218612,20000227,20000329,NA,NA,NA,NA,NA,NA,2,NA,1,NA
20310218616,20310218616,20000222,20000328,2,NA,NA,2,NA,NA,1,NA,1,NA
20310218630,20310218630,20000217,20000329,2,NA,NA,NA,NA,NA,3,NA,1,NA
20310218636,20310218636,20000211,20000310,6,NA,NA,6,NA,NA,3,NA,2,NA
20310218641,20310218641,20000227,20000320,2,NA,NA,NA,NA,2,3,NA,2,NA
20310218680,20310218680,20000225,20000320,NA,NA,NA,6,NA,NA,1,NA,1,NA
20310218683,20310218683,20000214,20000311,NA,2,NA,NA,NA,NA,2,NA,2,NA
20310218695,20310218695,20000208,20000328,NA,NA,NA,NA,998,2,2,NA,1,NA
20310218732,20310218732,20000206,20000314,2,NA,NA,2,NA,NA,1,NA,1,NA
20310218743,20310218743,20000217,20000310,998,NA,NA,2,NA,NA,1,NA,1,NA
20310218751,20310218751,20000217,20000315,NA,1,NA,NA,NA,2,2,NA,1,NA
20310218758,20310218758,20000212,20000316,NA,2,NA,NA,NA,2,3,NA,2,NA
20310218763,20310218763,20000217,20000319,2,NA,NA,NA,NA,2,2,NA,2,NA
20310218800,20310218800,20000224,20000314,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20310218818,20310218818,20000226,20000329,NA,998,NA,NA,NA,2,2,NA,1,NA
20310218822,20310218822,20000215,20000311,998,NA,NA,6,NA,NA,1,NA,2,NA
20310218850,20310218850,20000227,20000315,NA,2,NA,NA,NA,NA,3,NA,2,NA
20310218860,20310218860,20000216,20000312,NA,NA,NA,NA,2,2,2,NA,1,NA
20310218866,20310218866,20000218,20000405,NA,998,NA,NA,NA,1,2,NA,1,NA
20310218871,20310218871,20000213,20000313,2,NA,NA,NA,NA,NA,1,NA,2,NA
20310218873,20310218873,20000220,20000317,2,NA,NA,2,NA,NA,1,NA,1,NA
20310218874,20310218874,20000221,20000312,NA,NA,2,NA,NA,NA,1,NA,1,NA
20310218875,20310218875,20000217,20000313,2,NA,NA,NA,NA,NA,998,NA,NA,NA
20310218881,20310218881,20000222,20000315,2,NA,NA,NA,NA,NA,3,NA,1,NA
20310218896,20310218896,20000223,20000314,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20310218907,20310218907,20000222,20000326,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20310218922,20310218922,20000218,20000310,2,NA,NA,2,NA,NA,1,NA,2,NA
20310218938,20310218938,20000217,20000323,2,NA,NA,2,NA,NA,3,NA,1,NA
20310218939,20310218939,20000216,20000311,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20310218998,20310218998,20000226,20000311,NA,2,NA,NA,NA,NA,2,NA,2,NA
20310219001,20310219001,20000213,20000327,NA,1,NA,NA,NA,NA,2,NA,1,NA
20310219017,20310219017,20000212,20000311,6,NA,NA,6,NA,NA,1,NA,2,NA
20310219029,20310219029,20000218,20000315,NA,2,NA,NA,NA,2,2,NA,1,NA
20310219032,20310219032,20000221,20000313,2,NA,NA,2,NA,NA,1,NA,1,NA
20310219034,20310219034,20000216,20000310,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310219039,20310219039,20000216,20000325,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20310219042,20310219042,20000223,20000314,2,NA,NA,2,NA,NA,3,NA,1,NA
20310219065,20310219065,20000218,20000316,NA,NA,2,2,NA,NA,1,NA,1,NA
20310219107,20310219107,20000213,20000317,NA,2,NA,NA,NA,NA,2,NA,2,NA
20310219110,20310219110,20000221,20000316,NA,2,NA,NA,NA,2,3,NA,1,NA
20310219117,20310219117,20000218,20000316,6,NA,NA,NA,NA,NA,4,NA,NA,NA
20310219125,20310219125,20000217,20000330,6,NA,NA,6,NA,NA,1,NA,999,NA
20310219137,20310219137,20000216,20000319,NA,1,NA,NA,NA,NA,2,NA,2,NA
20310219146,20310219146,20000207,20000330,NA,2,NA,NA,NA,2,2,NA,1,NA
20310219150,20310219150,20000217,20000314,2,NA,NA,2,NA,NA,1,NA,1,NA
20310219174,20310219174,20000218,20000313,2,NA,NA,2,NA,NA,1,NA,2,NA
20310219189,20310219189,20000211,20000316,6,NA,NA,NA,NA,1,3,NA,2,NA
20310219266,20310219266,20000302,20000310,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310219279,20310219279,20000227,20000317,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20310219282,20310219282,20000221,20000311,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20310219287,20310219287,20000222,20000316,NA,2,NA,NA,NA,NA,999,NA,NA,NA
20310219291,20310219291,20000223,20000323,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20310219301,20310219301,20000219,20000311,NA,NA,998,NA,NA,NA,3,NA,1,NA
20310219302,20310219302,20000218,20000405,NA,NA,NA,NA,NA,NA,998,NA,NA,NA
20310219312,20310219312,20000208,20000311,NA,2,NA,NA,NA,2,2,NA,1,NA
20310219353,20310219353,20000216,20000322,NA,1,NA,NA,NA,NA,3,NA,2,NA
20310219415,20310219415,20000219,20000322,6,NA,NA,NA,NA,NA,3,NA,1,NA
20310219426,20310219426,20000217,20000312,NA,NA,NA,6,NA,NA,3,NA,1,NA
20310219428,20310219428,20000211,20000313,6,NA,NA,6,NA,NA,2,NA,1,NA
20310219458,20310219458,20000210,20000312,NA,NA,NA,6,NA,NA,3,NA,998,NA
20310219459,20310219459,20000209,20000312,NA,NA,NA,NA,NA,NA,2,NA,1,NA
20310219482,20310219482,20000221,20000326,2,NA,NA,2,NA,NA,1,NA,1,NA
20310219486,20310219486,20000220,20000329,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20310219497,20310219497,20000217,20000320,NA,2,NA,NA,NA,2,2,NA,2,NA
20310219513,20310219513,20000217,20000317,NA,2,NA,NA,NA,2,3,NA,1,NA
20310219541,20310219541,20000224,20000319,NA,2,NA,NA,NA,2,2,NA,2,NA
20310219569,20310219569,20000217,20000315,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310219608,20310219608,20000218,20000320,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20310219635,20310219635,20000222,20000326,NA,1,NA,NA,NA,1,2,NA,2,NA
20310219644,20310219644,20000219,20000317,NA,NA,NA,2,NA,NA,2,NA,2,NA
20310219648,20310219648,20000219,20000326,NA,1,NA,NA,NA,NA,2,NA,1,NA
20310219657,20310219657,20000216,20000327,2,NA,NA,2,NA,NA,1,NA,2,NA
20310219669,20310219669,20000217,20000314,2,NA,NA,2,NA,NA,1,NA,2,NA
20310219671,20310219671,20000207,20000330,NA,NA,NA,NA,NA,NA,998,NA,NA,NA
20310219699,20310219699,20000211,20000328,6,NA,NA,NA,NA,NA,1,NA,2,NA
20310219707,20310219707,20000219,20000318,NA,1,NA,NA,NA,1,2,NA,1,NA
20310219719,20310219719,20000217,20000405,5,NA,NA,NA,NA,NA,1,NA,2,NA
20310219720,20310219720,20000228,20000315,NA,2,NA,NA,NA,NA,3,NA,2,NA
20310219722,20310219722,20000219,20000312,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310219747,20310219747,20000205,20000315,2,NA,NA,2,NA,NA,1,NA,2,NA
20310219752,20310219752,20000222,20000323,NA,NA,NA,2,NA,NA,3,NA,1,NA
20310219758,20310219758,20000214,20000314,6,NA,NA,2,NA,NA,1,NA,1,NA
20310219778,20310219778,20000222,20000405,NA,NA,NA,NA,NA,1,2,NA,2,NA
20310219784,20310219784,20000216,20000312,NA,2,NA,NA,NA,NA,2,NA,2,NA
20310219808,20310219808,20000216,20000405,6,NA,NA,6,NA,NA,3,NA,1,NA
20310219818,20310219818,20000212,20000323,NA,2,NA,NA,NA,2,2,NA,998,NA
20310219821,20310219821,20000221,20000316,NA,998,NA,NA,NA,2,3,NA,2,NA
20310219867,20310219867,20000219,20000312,6,NA,NA,NA,NA,NA,3,NA,1,NA
20310219879,20310219879,20000221,20000402,NA,1,NA,NA,NA,1,2,NA,1,NA
20310219892,20310219892,20000205,20000313,2,NA,NA,2,NA,NA,1,NA,2,NA
20310219897,20310219897,20000213,20000315,NA,999,NA,NA,NA,NA,3,NA,1,NA
20310219899,20310219899,20000225,20000322,2,NA,NA,NA,NA,NA,1,NA,2,NA
20310219900,20310219900,20000210,20000314,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20310219903,20310219903,20000221,20000313,NA,NA,NA,6,NA,NA,3,NA,1,NA
20310219922,20310219922,20000228,20000315,NA,2,NA,2,NA,NA,3,NA,2,NA
20310219924,20310219924,20000217,20000326,NA,NA,NA,NA,NA,NA,2,NA,1,NA
20310219951,20310219951,20000215,20000327,NA,2,NA,NA,NA,NA,2,NA,2,NA
20310219995,20310219995,20000211,20000328,NA,1,NA,NA,NA,NA,3,NA,2,NA
20310220007,20310220007,20000219,20000310,NA,NA,NA,NA,NA,2,2,NA,1,NA
20310220024,20310220024,20000221,20000403,6,NA,NA,NA,NA,NA,3,NA,1,NA
20310220027,20310220027,20000211,20000328,NA,2,NA,NA,NA,999,2,NA,1,NA
20310220028,20310220028,20000209,20000331,2,NA,NA,NA,NA,NA,1,NA,2,NA
20310220045,20310220045,20000211,20000314,6,NA,NA,6,NA,NA,1,NA,1,NA
20310220047,20310220047,20000212,20000316,NA,998,NA,NA,NA,NA,2,NA,2,NA
20310220052,20310220052,20000220,20000317,2,NA,NA,2,NA,NA,1,NA,1,NA
20310220053,20310220053,20000217,20000329,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20310220058,20310220058,20000222,20000322,NA,2,NA,NA,NA,NA,2,NA,1,NA
20310220068,20310220068,20000225,20000320,NA,NA,2,2,NA,NA,1,NA,1,NA
20310220069,20310220069,20000220,20000321,NA,NA,NA,NA,NA,NA,998,NA,NA,NA
20310220077,20310220077,20000220,20000312,NA,1,NA,NA,NA,2,2,NA,1,NA
20310220081,20310220081,20000217,20000315,NA,2,NA,NA,NA,NA,3,NA,1,NA
20310220089,20310220089,20000212,20000327,NA,2,NA,NA,NA,2,999,NA,NA,NA
20310220095,20310220095,20000216,20000321,6,NA,NA,5,NA,NA,1,NA,1,NA
20310220101,20310220101,20000216,20000327,6,NA,NA,NA,NA,NA,4,NA,NA,NA
20310220139,20310220139,20000218,20000315,2,NA,NA,NA,NA,NA,1,NA,2,NA
20310220143,20310220143,20000213,20000313,998,NA,NA,NA,NA,NA,1,NA,2,NA
20310220153,20310220153,20000220,20000330,NA,2,NA,NA,NA,2,2,NA,1,NA
20310220188,20310220188,20000220,20000314,NA,NA,NA,6,NA,NA,3,NA,1,NA
20310220192,20310220192,20000222,20000316,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20310220205,20310220205,20000301,20000312,NA,NA,2,2,NA,NA,1,NA,1,NA
20310220219,20310220219,20000220,20000316,NA,NA,NA,NA,NA,NA,2,NA,1,NA
20310220236,20310220236,20000210,20000312,2,NA,NA,2,NA,NA,1,NA,1,NA
20310220245,20310220245,20000220,20000313,NA,1,NA,NA,NA,4,3,NA,2,NA
20310220256,20310220256,20000215,20000316,NA,2,NA,NA,NA,NA,2,NA,2,NA
20310220262,20310220262,20000219,20000312,2,NA,NA,2,NA,NA,1,NA,1,NA
20310220264,20310220264,20000220,20000319,2,NA,NA,2,NA,NA,1,NA,2,NA
20310220283,20310220283,20000213,20000315,998,NA,NA,NA,NA,NA,1,NA,2,NA
20310220311,20310220311,20000217,20000319,5,NA,NA,2,NA,NA,3,NA,1,NA
20310220314,20310220314,20000212,20000322,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20310220326,20310220326,20000226,20000319,6,NA,NA,2,NA,NA,1,NA,2,NA
20310220328,20310220328,20000222,20000320,NA,NA,NA,NA,NA,NA,2,NA,1,NA
20310220332,20310220332,20000220,20000316,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20310220344,20310220344,20000216,20000312,NA,2,NA,NA,NA,NA,2,NA,1,NA
20310220363,20310220363,20000301,20000401,2,NA,NA,2,NA,NA,1,NA,2,NA
20310220400,20310220400,20000215,20000313,5,NA,NA,2,NA,NA,1,NA,1,NA
20310220403,20310220403,20000224,20000315,2,NA,NA,NA,NA,NA,4,NA,NA,NA
20310220443,20310220443,20000219,20000314,NA,1,NA,2,NA,NA,3,NA,1,NA
20310220447,20310220447,20000221,20000326,998,NA,NA,2,NA,NA,1,NA,2,NA
20310220481,20310220481,20000222,20000312,NA,2,NA,NA,NA,2,2,NA,1,NA
20310220510,20310220510,20000212,20000327,NA,2,NA,NA,NA,2,2,NA,1,NA
20310220518,20310220518,20000210,20000325,6,NA,NA,2,NA,NA,1,NA,1,NA
20310220527,20310220527,20000219,20000317,NA,2,NA,NA,NA,NA,2,NA,2,NA
20310220534,20310220534,20000208,20000313,2,NA,NA,NA,NA,NA,2,NA,2,NA
20310220566,20310220566,20000221,20000318,6,NA,NA,NA,NA,NA,2,NA,1,NA
20310220570,20310220570,20000220,20000326,2,NA,NA,2,NA,NA,1,NA,2,NA
20310220587,20310220587,20000222,20000405,NA,2,NA,NA,NA,NA,2,NA,2,NA
20310220608,20310220608,20000221,20000327,NA,1,NA,NA,NA,1,3,NA,2,NA
20310220634,20310220634,20000219,20000317,6,NA,NA,NA,NA,1,3,NA,998,NA
20310220642,20310220642,20000220,20000321,NA,NA,NA,NA,2,2,2,NA,2,NA
20310220643,20310220643,20000221,20000312,2,NA,NA,2,NA,NA,1,NA,1,NA
20310220665,20310220665,20000216,20000312,NA,2,NA,NA,NA,2,2,NA,1,NA
20310220673,20310220673,20000206,20000322,NA,2,NA,NA,NA,1,2,NA,2,NA
20310220696,20310220696,20000205,20000324,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310220706,20310220706,20000222,20000322,NA,NA,NA,NA,NA,NA,1,NA,1,NA
20310220750,20310220750,20000228,20000313,NA,2,NA,2,NA,NA,3,NA,1,NA
20310220755,20310220755,20000207,20000314,6,NA,NA,NA,NA,NA,1,NA,2,NA
20310220757,20310220757,20000222,20000311,NA,1,NA,6,NA,NA,3,NA,1,NA
20310220761,20310220761,20000221,20000322,NA,1,NA,NA,NA,1,3,NA,1,NA
20310220787,20310220787,20000225,20000315,NA,2,NA,NA,NA,2,2,NA,1,NA
20310220805,20310220805,20000217,20000326,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20310220828,20310220828,20000206,20000311,NA,1,NA,NA,NA,1,2,NA,1,NA
20310220835,20310220835,20000215,20000406,NA,NA,NA,NA,1,2,3,NA,1,NA
20310220845,20310220845,20000301,20000323,6,NA,NA,NA,NA,2,3,NA,2,NA
20310220849,20310220849,20000212,20000313,NA,NA,NA,NA,NA,NA,3,NA,998,NA
20310220857,20310220857,20000212,20000310,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310220867,20310220867,20000228,20000328,2,NA,NA,2,NA,NA,1,NA,1,NA
20310220877,20310220877,20000220,20000316,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310220885,20310220885,20000205,20000402,6,NA,NA,6,NA,NA,3,NA,1,NA
20310220888,20310220888,20000216,20000317,NA,2,NA,NA,NA,NA,3,NA,1,NA
20310220892,20310220892,20000212,20000319,NA,998,NA,NA,NA,2,3,NA,1,NA
20310220896,20310220896,20000221,20000311,NA,2,NA,NA,NA,1,3,NA,2,NA
20310220906,20310220906,20000212,20000310,NA,2,NA,NA,NA,2,2,NA,1,NA
20310220913,20310220913,20000220,20000310,6,NA,NA,NA,NA,NA,1,NA,1,NA
20310220916,20310220916,20000224,20000310,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20310220924,20310220924,20000221,20000322,NA,NA,NA,NA,NA,NA,998,NA,NA,NA
20310220949,20310220949,20000205,20000324,999,NA,NA,NA,NA,NA,1,NA,2,NA
20310220968,20310220968,20000218,20000326,NA,2,NA,NA,NA,2,2,NA,2,NA
20310220970,20310220970,20000220,20000310,NA,2,NA,NA,NA,2,2,NA,1,NA
20310220990,20310220990,20000209,20000310,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310221001,20310221001,20000213,20000313,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20310221019,20310221019,20000221,20000327,NA,2,NA,NA,NA,NA,2,NA,2,NA
20310221027,20310221027,20000219,20000311,2,NA,NA,6,NA,NA,3,NA,1,NA
20310221041,20310221041,20000221,20000316,6,NA,NA,NA,NA,NA,3,NA,1,NA
20310221086,20310221086,20000223,20000312,NA,NA,NA,NA,NA,NA,3,NA,2,NA
20310221093,20310221093,20000207,20000310,6,NA,NA,NA,NA,NA,1,NA,2,NA
20310221096,20310221096,20000306,20000403,NA,998,NA,NA,NA,NA,3,NA,2,NA
20310221103,20310221103,20000213,20000321,NA,1,NA,NA,NA,1,2,NA,2,NA
20310221113,20310221113,20000220,20000328,6,NA,NA,6,NA,NA,1,NA,2,NA
20310221140,20310221140,20000219,20000318,998,NA,NA,2,NA,NA,3,NA,1,NA
20310221146,20310221146,20000221,20000319,NA,1,NA,NA,NA,1,2,NA,1,NA
20310221156,20310221156,20000213,20000401,3,NA,NA,NA,NA,2,3,NA,2,NA
20310221158,20310221158,20000216,20000310,NA,2,NA,NA,NA,2,4,NA,NA,NA
20310221161,20310221161,20000216,20000315,NA,998,NA,NA,NA,NA,2,NA,1,NA
20310221169,20310221169,20000223,20000312,2,NA,NA,2,NA,NA,1,NA,1,NA
20310221187,20310221187,20000219,20000311,6,NA,NA,6,NA,NA,2,NA,1,NA
20310221236,20310221236,20000216,20000312,NA,NA,NA,2,NA,NA,3,NA,1,NA
20310221265,20310221265,20000216,20000314,NA,1,NA,NA,NA,1,2,NA,1,NA
20310221279,20310221279,20000220,20000311,NA,1,NA,NA,NA,1,2,NA,1,NA
20310221283,20310221283,20000216,20000322,998,NA,NA,NA,NA,NA,3,NA,2,NA
20310221285,20310221285,20000212,20000319,NA,2,NA,NA,NA,2,3,NA,1,NA
20310221339,20310221339,20000207,20000310,NA,2,NA,NA,NA,2,2,NA,2,NA
20310221344,20310221344,20000215,20000331,NA,2,NA,NA,NA,2,2,NA,1,NA
20310221373,20310221373,20000229,20000317,NA,NA,NA,NA,NA,NA,2,NA,1,NA
20310221386,20310221386,20000229,20000323,6,NA,NA,6,NA,NA,4,NA,NA,NA
20310221413,20310221413,20000219,20000320,NA,2,NA,NA,NA,2,2,NA,1,NA
20310221415,20310221415,20000216,20000319,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20310221429,20310221429,20000210,20000315,NA,NA,NA,NA,NA,NA,1,NA,1,NA
20310221439,20310221439,20000221,20000315,NA,1,NA,NA,NA,NA,1,NA,2,NA
20310221447,20310221447,20000223,20000318,NA,998,NA,NA,NA,1,2,NA,1,NA
20310221449,20310221449,20000224,20000314,NA,2,NA,NA,NA,NA,2,NA,1,NA
20310221456,20310221456,20000212,20000311,2,NA,NA,2,NA,NA,1,NA,1,NA
20310221464,20310221464,20000212,20000315,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20310221471,20310221471,20000224,20000320,NA,NA,NA,NA,NA,2,3,NA,1,NA
20310221483,20310221483,20000220,20000310,6,NA,NA,NA,NA,NA,1,NA,998,NA
20310221501,20310221501,20000213,20000312,NA,NA,NA,NA,2,2,2,NA,1,NA
20310221502,20310221502,20000301,20000314,NA,2,NA,NA,NA,NA,2,NA,2,NA
20310221503,20310221503,20000219,20000321,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310221524,20310221524,20000216,20000310,NA,2,NA,NA,NA,2,2,NA,2,NA
20310221526,20310221526,20000211,20000331,NA,2,NA,NA,NA,999,2,NA,1,NA
20310221533,20310221533,20000214,20000324,6,NA,NA,6,NA,NA,3,NA,1,NA
20310221536,20310221536,20000212,20000316,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20310221546,20310221546,20000222,20000312,NA,NA,NA,NA,NA,2,999,NA,NA,NA
20310221578,20310221578,20000213,20000401,NA,1,NA,NA,NA,1,2,NA,1,NA
20310221580,20310221580,20000213,20000312,6,NA,NA,6,NA,NA,4,NA,NA,NA
20310221603,20310221603,20000220,20000317,2,NA,NA,2,NA,NA,1,NA,2,NA
20310221629,20310221629,20000208,20000320,NA,2,NA,NA,NA,NA,2,NA,2,NA
20310221631,20310221631,20000218,20000313,NA,2,NA,NA,NA,NA,2,NA,1,NA
20310221660,20310221660,20000213,20000318,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20310221680,20310221680,20000221,20000312,2,NA,NA,999,NA,NA,1,NA,2,NA
20310221706,20310221706,20000213,20000317,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20310221709,20310221709,20000216,20000317,NA,2,NA,NA,NA,NA,3,NA,1,NA
20310221726,20310221726,20000213,20000315,6,NA,NA,6,NA,NA,3,NA,2,NA
20310221733,20310221733,20000224,20000319,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310221761,20310221761,20000213,20000314,NA,1,NA,NA,NA,NA,2,NA,2,NA
20310221796,20310221796,20000214,20000322,NA,1,NA,NA,NA,NA,2,NA,2,NA
20310221798,20310221798,20000229,20000327,NA,2,NA,NA,NA,2,2,NA,1,NA
20310221832,20310221832,20000219,20000314,2,NA,NA,NA,NA,NA,2,NA,2,NA
20310221861,20310221861,20000221,20000316,2,NA,NA,NA,NA,NA,3,NA,2,NA
20310221863,20310221863,20000212,20000311,NA,NA,NA,NA,NA,NA,1,NA,998,NA
20310221867,20310221867,20000214,20000310,NA,1,NA,NA,NA,NA,2,NA,1,NA
20310221868,20310221868,20000216,20000319,NA,NA,NA,NA,2,2,3,NA,1,NA
20310221871,20310221871,20000212,20000312,NA,1,NA,NA,NA,NA,2,NA,1,NA
20310221890,20310221890,20000218,20000331,2,NA,NA,998,NA,NA,2,NA,1,NA
20310221894,20310221894,20000207,20000406,NA,998,NA,NA,NA,999,998,NA,NA,NA
20310221934,20310221934,20000219,20000327,NA,NA,NA,NA,NA,NA,998,NA,NA,NA
20310221977,20310221977,20000209,20000314,NA,2,NA,NA,NA,2,2,NA,2,NA
20310221979,20310221979,20000210,20000405,NA,1,NA,NA,NA,NA,3,NA,2,NA
20310221993,20310221993,20000222,20000326,NA,2,NA,NA,NA,NA,2,NA,1,NA
20310221994,20310221994,20000215,20000316,2,NA,NA,NA,NA,NA,4,NA,NA,NA
20310222003,20310222003,20000227,20000402,NA,999,NA,NA,NA,NA,1,NA,2,NA
20310222021,20310222021,20000212,20000311,6,NA,NA,2,NA,NA,1,NA,2,NA
20310222031,20310222031,20000227,20000311,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20310222041,20310222041,20000212,20000315,NA,1,NA,NA,NA,1,2,NA,2,NA
20310222072,20310222072,20000228,20000326,5,NA,NA,NA,NA,3,2,NA,2,NA
20310222076,20310222076,20000224,20000315,6,NA,NA,NA,NA,NA,1,NA,2,NA
20310222078,20310222078,20000219,20000403,NA,2,NA,NA,NA,NA,3,NA,1,NA
20310222089,20310222089,20000216,20000322,998,NA,NA,NA,NA,NA,1,NA,2,NA
20310222096,20310222096,20000215,20000310,6,NA,NA,NA,NA,NA,3,NA,1,NA
20310222118,20310222118,20000212,20000406,2,NA,NA,2,NA,NA,1,NA,1,NA
20310222123,20310222123,20000206,20000316,6,NA,NA,NA,NA,NA,1,NA,2,NA
20310222143,20310222143,20000217,20000318,2,NA,NA,2,NA,NA,1,NA,1,NA
20310222158,20310222158,20000220,20000313,6,NA,NA,6,NA,NA,1,NA,2,NA
20310222163,20310222163,20000219,20000312,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20310222199,20310222199,20000222,20000310,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310222209,20310222209,20000222,20000327,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310222218,20310222218,20000212,20000315,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310222247,20310222247,20000214,20000326,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20310222287,20310222287,20000217,20000312,NA,998,NA,NA,NA,NA,2,NA,2,NA
20310222294,20310222294,20000217,20000317,NA,NA,NA,NA,NA,2,2,NA,2,NA
20310222300,20310222300,20000222,20000318,2,NA,NA,6,NA,NA,1,NA,2,NA
20310222303,20310222303,20000219,20000401,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
20310222304,20310222304,20000213,20000317,NA,2,NA,NA,NA,NA,2,NA,1,NA
20310222327,20310222327,20000228,20000404,NA,998,NA,NA,NA,NA,3,NA,2,NA
20310222349,20310222349,20000212,20000310,NA,999,NA,NA,NA,NA,3,NA,1,NA
20310222408,20310222408,20000222,20000313,NA,1,NA,NA,NA,NA,2,NA,2,NA
20310222423,20310222423,20000223,20000315,6,NA,NA,6,NA,NA,1,NA,1,NA
20310222430,20310222430,20000210,20000312,NA,1,NA,NA,NA,NA,4,NA,NA,NA
20310222432,20310222432,20000216,20000313,6,NA,NA,NA,NA,NA,3,NA,1,NA
20310222433,20310222433,20000218,20000314,NA,2,NA,NA,NA,2,2,NA,1,NA
20310222436,20310222436,20000216,20000330,2,NA,NA,2,NA,NA,1,NA,1,NA
20310222447,20310222447,20000206,20000310,6,NA,NA,6,NA,NA,1,NA,2,NA
20310222452,20310222452,20000214,20000311,NA,2,NA,NA,NA,1,2,NA,1,NA
20310222453,20310222453,20000209,20000314,NA,2,NA,NA,NA,1,2,NA,1,NA
20310222462,20310222462,20000217,20000310,2,NA,NA,2,NA,NA,1,NA,1,NA
20310222469,20310222469,20000227,20000402,NA,2,NA,NA,NA,NA,2,NA,1,NA
20310222474,20310222474,20000220,20000311,998,NA,NA,NA,NA,2,1,NA,2,NA
20310222519,20310222519,20000215,20000326,NA,2,NA,NA,NA,NA,2,NA,2,NA
20310222538,20310222538,20000226,20000310,6,NA,NA,NA,NA,NA,3,NA,1,NA
20310222543,20310222543,20000229,20000331,6,NA,NA,NA,NA,2,3,NA,2,NA
20310222547,20310222547,20000219,20000310,6,NA,NA,NA,NA,NA,1,NA,1,NA
20310222551,20310222551,20000206,20000401,NA,998,NA,NA,NA,1,2,NA,2,NA
20310222569,20310222569,20000227,20000310,6,NA,NA,6,NA,NA,3,NA,1,NA
20310222581,20310222581,20000219,20000315,6,NA,NA,2,NA,NA,1,NA,2,NA
20310222585,20310222585,20000226,20000324,2,NA,NA,2,NA,NA,1,NA,2,NA
20310222598,20310222598,20000212,20000312,NA,2,NA,NA,NA,2,2,NA,1,NA
20310222621,20310222621,20000213,20000317,999,NA,NA,NA,NA,999,2,NA,1,NA
20310222642,20310222642,20000216,20000320,2,NA,NA,2,NA,NA,3,NA,1,NA
20310222707,20310222707,20000219,20000402,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20310222728,20310222728,20000218,20000320,NA,NA,NA,NA,NA,NA,2,NA,2,NA
20310222750,20310222750,20000120,20000320,6,NA,NA,NA,NA,NA,3,NA,2,NA
20310222755,20310222755,20000125,20000315,NA,NA,2,2,NA,NA,1,NA,2,NA
20310222763,20310222763,20000125,20000312,NA,NA,NA,NA,NA,NA,1,NA,2,NA
20310222776,20310222776,20000125,20000328,3,NA,NA,NA,NA,998,3,NA,1,NA
20310222807,20310222807,20000122,20000314,NA,NA,NA,NA,NA,NA,998,NA,NA,NA
20310222816,20310222816,20000204,20000315,NA,NA,NA,NA,NA,NA,3,NA,1,NA
20310222817,20310222817,20000124,20000310,3,NA,NA,NA,NA,NA,3,NA,1,NA
20310222821,20310222821,20000203,20000315,2,NA,NA,NA,NA,NA,4,NA,NA,NA
20310222825,20310222825,20000120,20000316,NA,NA,NA,999,NA,NA,1,NA,2,NA
20310222836,20310222836,20000128,20000314,NA,1,NA,NA,NA,1,2,NA,1,NA
