rkey,date_c,date_r,ma01_c,ma01r4v_c,ma01_r,ma01r4v_r,mb01_c,mb02_c,mb02_r,rba01_c,rba01r9v_c,rba02_c,rba02r9v_c
10619703,20080810,20081105,1,,3,,3,4,4,NA,,NA,
10619786,20080809,20081109,1,,998,,3,2,4,NA,,NA,
10620152,20080820,20081110,2,,2,,3,4,4,NA,,NA,
10620183,20080814,20081109,2,,3,,3,3,1,NA,,NA,
10620403,20080822,20081106,2,,2,,3,4,3,NA,,NA,
10620560,20080817,20081110,2,,2,,3,1,2,NA,,NA,
10620630,20080818,20081106,3,,2,,2,2,1,NA,,NA,
10620680,20080813,20081108,1,,1,,998,4,3,NA,,NA,
10620862,20080814,20081105,3,,3,,3,2,4,NA,,NA,
10621335,20080808,20081108,2,,2,,3,2,3,NA,,NA,
10622232,20080817,20081109,1,,1,,3,4,4,NA,,NA,
10622616,20080816,20081107,2,,2,,3,4,4,NA,,NA,
10623867,20080811,20081109,3,,3,,3,4,4,NA,,NA,
10624188,20080814,20081106,2,,2,,3,4,4,NA,,NA,
10624565,20080823,20081107,2,,2,,3,4,4,NA,,NA,
10624582,20080814,20081106,2,,3,,4,2,2,NA,,NA,
10625378,20080808,20081109,998,,3,,4,1,1,NA,,NA,
10625417,20080818,20081105,3,,3,,3,4,4,NA,,NA,
10625438,20080814,20081105,2,,2,,3,1,2,NA,,NA,
10625714,20080815,20081107,2,,3,,2,4,4,NA,,NA,
10626495,20080810,20081106,2,,2,,4,4,3,NA,,NA,
10626648,20080811,20081106,2,,2,,3,2,3,NA,,NA,
10626694,20080816,20081106,1,,1,,3,1,2,NA,,NA,
10626870,20080821,20081109,1,,1,,3,3,4,NA,,NA,
10627437,20080817,20081108,2,,2,,4,4,1,NA,,NA,
10627608,20080810,20081109,2,,2,,3,3,4,NA,,NA,
10628254,20080811,20081107,1,,1,,3,2,2,NA,,NA,
10628381,20080817,20081110,2,,2,,3,4,4,NA,,NA,
10628612,20080817,20081106,3,,1,,2,3,3,NA,,NA,
10629180,20080809,20081109,1,,1,,2,3,4,NA,,NA,
10629232,20080812,20081109,2,,2,,3,2,3,NA,,NA,
10629556,20080816,20081109,1,,3,,4,2,2,NA,,NA,
10629622,20080823,20081105,2,,2,,4,2,1,NA,,NA,
10629647,20080808,20081105,1,,1,,2,3,2,NA,,NA,
10629724,20080821,20081109,3,,3,,3,2,3,NA,,NA,
10629856,20080816,20081106,2,,2,,3,4,4,NA,,NA,
10630008,20080816,20081109,1,,1,,4,1,2,NA,,NA,
10630829,20080808,20081107,3,,2,,3,4,3,NA,,NA,
10631115,20080811,20081105,2,,2,,3,3,3,NA,,NA,
10631116,20080818,20081106,3,,3,,3,1,1,NA,,NA,
10631237,20080820,20081109,3,,3,,3,2,2,NA,,NA,
10631790,20080811,20081106,2,,2,,3,2,4,NA,,NA,
10632130,20080816,20081109,2,,2,,3,4,4,NA,,NA,
10632830,20080821,20081109,2,,2,,3,2,2,NA,,NA,
10632988,20080812,20081105,1,,999,,3,2,2,NA,,NA,
10633314,20080810,20081105,998,,4,just vote for the person,2,2,2,NA,,NA,
10633470,20080819,20081105,3,,1,,3,2,2,NA,,NA,
10633488,20080816,20081110,1,,1,,3,3,3,NA,,NA,
10633673,20080812,20081107,2,,2,,3,3,4,NA,,NA,
10633746,20080816,20081108,2,,2,,3,4,4,NA,,NA,
10633799,20080812,20081106,3,,3,,4,2,4,NA,,NA,
10633905,20080813,20081105,1,,1,,3,2,4,NA,,NA,
10634456,20080812,20081105,1,,1,,3,3,3,NA,,NA,
10634899,20080808,20081105,1,,1,,2,1,2,NA,,NA,
10635086,20080809,20081109,2,,2,,2,2,2,NA,,NA,
10635442,20080813,20081107,1,,3,,3,2,3,NA,,NA,
10635587,20080819,20081105,1,,1,,3,4,4,NA,,NA,
10635625,20080824,20081105,1,,1,,3,2,2,NA,,NA,
10635632,20080818,20081105,4,conservative,1,,3,4,2,NA,,NA,
10635657,20080813,20081105,3,,3,,2,2,2,NA,,NA,
10636032,20080811,20081107,3,,3,,3,2,4,NA,,NA,
