case,pid_7,ft_dem,ft_rep,ideo_self,ideo_dem,ideo_rep,primary_vote,primary_vote_choice_num,dis_democ,distrust_gov,wrong_track_dum,gov_run_for_few_dum,gov_care_post,wealth_gap_larger,age,race,weight,date,income,sex,pid_7_num,pid_3,therm_dem,therm_rep,primary_vote_dum,primary_vote_choice,cand_party,dis_democ_dum,trust_gov,distrust_gov_dum,officials_dont_care_dum,therm_parties_mean,therm_inparty,therm_outparty,year,below_50_qual_strict,wealth_gap_larger_dum,primary_vote_simple,below_35k_dum
2020_353551,Independent - Republican,0,60,5,1,6,Didn't Vote,NA,4,4,1,1,5,1,57,White,0.467676229376544,2020-09-28,22,Female,5,Republican,0,60,0,NA,NA,1,Some of the Time,1,0,30,60,0,2020,NA,1,Didn't Vote,0
2020_353643,Independent - Republican,0,60,5,1,6,Didn't Vote,NA,2,3,0,1,1,2,46,White,0.944993726362865,2020-09-13,17,Male,5,Republican,0,60,0,NA,NA,0,About Half the time,0,1,30,60,0,2020,NA,0,Didn't Vote,0
2020_353667,Strong Democrat,100,0,5,4,6,Voted,1,1,4,1,1,5,1,73,White,0.229637480020822,2020-08-28,9,Male,1,Democrat,100,0,1,Joe Biden,Democrat,0,Some of the Time,1,0,50,100,0,2020,warm,1,Winner,0
2020_353681,Strong Republican,15,85,4,6,4,Didn't Vote,NA,4,3,1,1,1,1,64,White,0.829093774750762,2020-09-27,1,Female,7,Republican,15,85,0,NA,NA,1,About Half the time,0,1,50,85,15,2020,warm,1,Didn't Vote,1
2020_353704,Independent - Independent,70,40,99,3,5,Didn't Vote,NA,2,4,1,1,2,1,18,White,5.46507328289074,2020-09-13,17,Male,4,Independent,70,40,0,NA,NA,0,Some of the Time,1,1,55,NA,NA,2020,NA,1,Didn't Vote,0
2020_353711,Weak Republican,15,60,6,1,6,Didn't Vote,NA,4,4,1,1,2,1,66,White,0.720468140383029,2020-08-20,6,Male,6,Republican,15,60,0,NA,NA,1,Some of the Time,1,1,37.5,60,15,2020,NA,1,Didn't Vote,1
2020_353773,Independent - Republican,15,60,6,3,5,Voted,8,2,4,0,1,2,3,36,White,0.617371938142219,2020-10-24,18,Female,5,Republican,15,60,1,Donald Trump,Republican,0,Some of the Time,1,1,37.5,60,15,2020,NA,0,Winner,0
2020_353780,Strong Democrat,70,0,2,4,7,Voted,1,4,4,1,1,1,1,64,Black,0.553526227777704,2020-08-20,5,Female,1,Democrat,70,0,1,Joe Biden,Democrat,1,Some of the Time,1,1,35,70,0,2020,warm,1,Winner,1
2020_353810,Strong Democrat,100,0,1,2,7,Didn't Vote,NA,5,4,1,1,5,1,45,Other,0.687979806222077,2020-09-23,9,Male,1,Democrat,100,0,0,NA,NA,1,Some of the Time,1,0,50,100,0,2020,warm,1,Didn't Vote,0
2020_353834,Strong Democrat,100,0,2,2,7,Voted,1,2,2,1,1,1,1,41,Other,1.87191856478236,2020-09-13,14,Female,1,Democrat,100,0,1,Joe Biden,Democrat,0,Most of the Time,0,1,50,100,0,2020,warm,1,Winner,0
2020_353902,Independent - Democrat,50,50,2,2,7,Didn't Vote,NA,4,5,1,1,1,1,29,White,1.19356196029592,2020-09-14,5,Female,3,Democrat,50,50,0,NA,NA,1,Never,1,1,50,50,50,2020,NA,1,Didn't Vote,1
2020_353926,Strong Democrat,70,15,2,3,7,Didn't Vote,NA,4,3,1,1,2,1,53,White,0.450584387065078,2020-08-30,7,Male,1,Democrat,70,15,0,NA,NA,1,About Half the time,0,1,42.5,70,15,2020,warm,1,Didn't Vote,0
2020_353933,Independent - Republican,0,70,6,1,5,Didn't Vote,NA,1,3,0,1,4,1,65,White,0.481943770156571,2020-08-31,13,Female,5,Republican,0,70,0,NA,NA,0,About Half the time,0,0,35,70,0,2020,warm,1,Didn't Vote,0
2020_353957,Independent - Democrat,70,15,3,2,7,Didn't Vote,NA,2,4,1,1,5,1,62,White,2.15495008099171,2020-08-26,17,Male,3,Democrat,70,15,0,NA,NA,0,Some of the Time,1,0,42.5,70,15,2020,warm,1,Didn't Vote,0
2020_353988,Strong Republican,50,85,6,2,6,Didn't Vote,NA,2,2,0,0,2,3,79,White,0.130024961045103,2020-08-31,1,Male,7,Republican,50,85,0,NA,NA,0,Most of the Time,0,1,67.5,85,50,2020,warm,0,Didn't Vote,1
2020_354004,Weak Democrat,60,40,99,5,3,Didn't Vote,NA,2,4,1,0,3,3,62,White,0.773535046540351,2020-08-21,6,Female,2,Democrat,60,40,0,NA,NA,0,Some of the Time,1,0,50,60,40,2020,NA,0,Didn't Vote,1
2020_354035,Weak Democrat,85,10,2,2,6,Voted,7,4,4,1,1,2,1,73,White,1.5972647762112,2020-08-21,20,Female,2,Democrat,85,10,1,Other Democrat,Democrat,1,Some of the Time,1,1,47.5,85,10,2020,warm,1,Loser,0
2020_354073,Weak Republican,30,85,6,3,5,Didn't Vote,NA,2,4,0,1,1,1,64,White,1.58688319118441,2020-08-25,20,Male,6,Republican,30,85,0,NA,NA,0,Some of the Time,1,1,57.5,85,30,2020,warm,1,Didn't Vote,0
2020_354097,Independent - Republican,15,85,6,1,5,Voted,8,-6,4,0,1,-6,3,70,White,0.110239217770296,2020-09-18,1,Male,5,Republican,15,85,1,Donald Trump,Republican,NA,Some of the Time,1,NA,50,85,15,2020,warm,0,Winner,1
2020_354134,Independent - Democrat,100,40,5,3,7,Didn't Vote,NA,4,4,1,1,2,1,52,Other,2.76677133708813,2020-10-14,8,Female,3,Democrat,100,40,0,NA,NA,1,Some of the Time,1,1,70,100,40,2020,warm,1,Didn't Vote,0
2020_354158,Independent - Democrat,15,0,99,4,7,Didn't Vote,NA,-6,5,1,1,-6,1,20,White,1.42477412587227,2020-09-30,2,Female,3,Democrat,15,0,0,NA,NA,NA,Never,1,NA,7.5,15,0,2020,cold,1,Didn't Vote,1
