case,pid_7,ft_dem,ft_rep,ideo_self,ideo_dem,ideo_rep,primary_vote,primary_vote_choice_num,dis_democ,distrust_gov,wrong_track_dum,gov_run_for_few_dum,gov_care_post,wealth_gap_larger,age,race,weight,date,income,sex,pid_7_num,pid_3,therm_dem,therm_rep,primary_vote_dum,primary_vote_choice,cand_party,dis_democ_dum,trust_gov,distrust_gov_dum,officials_dont_care_dum,therm_parties_mean,therm_inparty,therm_outparty,year,below_50_qual_strict,wealth_gap_larger_dum,primary_vote_simple,below_35k_dum
2020_355298,Strong Democrat,100,0,2,2,7,Voted,1,4,3,1,1,3,1,33,Black,1.6885818814772,2020-08-19,15,Female,1,Democrat,100,0,1,Joe Biden,Democrat,1,About Half the time,0,0,50,100,0,2020,warm,1,Winner,0
2020_355335,Strong Democrat,100,0,2,1,7,Voted,5,-9,4,1,1,3,2,24,Other,0.24691560516617,2020-09-14,1,Female,1,Democrat,100,0,1,Bernie Sanders,Democrat,NA,Some of the Time,1,0,50,100,0,2020,warm,0,Loser,1
2020_355359,Strong Democrat,60,0,3,2,7,Didn't Vote,NA,-6,4,1,1,-6,1,49,White,0.98756639833599,2020-09-22,19,Male,1,Democrat,60,0,0,NA,NA,NA,Some of the Time,1,NA,30,60,0,2020,NA,1,Didn't Vote,0
2020_355373,Strong Democrat,100,0,4,2,7,Voted,1,2,2,1,0,1,1,80,Black,1.38784762720593,2020-10-21,9,Male,1,Democrat,100,0,1,Joe Biden,Democrat,0,Most of the Time,0,1,50,100,0,2020,warm,1,Winner,0
2020_355397,Independent - Independent,30,60,4,1,7,Didn't Vote,NA,2,3,0,1,3,3,57,White,0.980364089861709,2020-08-24,NA,Female,4,Independent,30,60,0,NA,NA,0,About Half the time,0,0,45,NA,NA,2020,NA,0,Didn't Vote,NA
2020_355403,Independent - Independent,-9,-9,99,3,3,Didn't Vote,NA,-9,2,1,0,4,1,NA,NA,1.00707644960255,2020-09-20,NA,Female,4,Independent,NA,NA,0,NA,NA,NA,Most of the Time,0,0,-9,NA,NA,2020,NA,1,Didn't Vote,NA
2020_355427,Strong Republican,0,85,7,1,7,Voted,8,1,2,0,0,2,3,71,White,1.36937814395891,2020-09-22,22,Female,7,Republican,0,85,1,Donald Trump,Republican,0,Most of the Time,0,1,42.5,85,0,2020,warm,0,Winner,0
2020_355434,Independent - Independent,30,0,99,4,6,Didn't Vote,NA,2,5,1,1,1,3,37,White,0.844647765393336,2020-09-20,1,Male,4,Independent,30,0,0,NA,NA,0,Never,1,1,15,NA,NA,2020,NA,0,Didn't Vote,1
2020_355441,Strong Democrat,90,0,2,3,7,Voted,6,-6,4,1,1,-6,1,74,White,1.05715304322813,2020-09-04,22,Female,1,Democrat,90,0,1,Elizabeth Warren,Democrat,NA,Some of the Time,1,NA,45,90,0,2020,warm,1,Loser,0
2020_355458,Independent - Independent,0,0,99,4,4,Didn't Vote,NA,5,5,1,1,1,1,18,White,3.19388212212933,2020-08-20,6,Female,4,Independent,0,0,0,NA,NA,1,Never,1,1,0,NA,NA,2020,NA,1,Didn't Vote,1
2020_355472,Strong Democrat,50,0,1,4,7,Voted,5,5,5,1,1,2,1,28,White,0.411098732802918,2020-09-15,4,Male,1,Democrat,50,0,1,Bernie Sanders,Democrat,1,Never,1,1,25,50,0,2020,NA,1,Loser,1
2020_355519,Strong Democrat,70,15,3,3,6,Didn't Vote,NA,2,3,1,0,4,1,60,White,0.559209334078834,2020-09-16,19,Female,1,Democrat,70,15,0,NA,NA,0,About Half the time,0,0,42.5,70,15,2020,warm,1,Didn't Vote,0
2020_355540,Independent - Republican,15,70,4,1,7,Didn't Vote,NA,2,5,0,1,1,1,38,White,1.30827367902674,2020-10-14,13,Male,5,Republican,15,70,0,NA,NA,0,Never,1,1,42.5,70,15,2020,warm,1,Didn't Vote,0
