boot,pid_3,below_50_qual_strict,prop_vote_general,mean_activist_index,prop_meetings,prop_work_cand,prop_display_merch,prop_donate,prop_watch_campaign_tv,prop_know_house_pre,prop_talk_pol_most,prop_vote_primary,prop_vote_inparty_house,prop_vote_outparty_pres,prop_vote_thirdparty_pres,prop_vote_inparty_pres
1570,Republican,cold,0.7847724516912761,0.12050211038530598,0.07040902390353172,0.02475171372030781,0.0972251767863891,0.08493964356722619,0.7793719227852801,0.7273334507890636,0.34599625099835,0.4333997376980595,0.4170886322566774,0.25528528962088487,0.14006685694612575,0.6046478534329894
1570,Republican,warm,0.7822851459599108,0.13831023170742182,0.08360737118619728,0.04278305907633692,0.134577044158863,0.13585872096882703,0.8391445547680374,0.6591243299991009,0.31567129814551564,0.4254843894278506,0.52441190676550975,0.04627973754155393,0.024572617503982198,0.9291476449544639
1570,Republican,NA,0.690884946743614,0.09644654530897728,0.0501484606976223,0.028285166840550418,0.07736539601430761,0.09080875315412937,0.7315772533431487,0.5926146435937866,0.27334339496905097,0.37761395426951705,0.4153264945916474,0.10591250944063874,0.07399894011094024,0.8200885504484211
1571,Democrat,cold,0.6509248746818374,0.10167822095750438,0.0583597952341967,0.030986162425718333,0.10084473780953379,0.06784224898000617,0.8043920151568555,0.5930252377704589,0.26472499609397615,0.3364838105491938,0.334615466491292,0.3763142753003583,0.15539040274718094,0.46829532195246076
1571,Democrat,warm,0.7220155422262586,0.12069987336279313,0.08950307185264508,0.04262036089103122,0.1389343125283919,0.11004170657767114,0.8267193997305156,0.5663452930229882,0.2652921533438294,0.42825587827309924,0.4780078318339713,0.0639228471225282,0.022751738801684955,0.9133254140757867
1571,Democrat,NA,0.6228074030557395,0.08557602858859037,0.053771975933311955,0.029806295308437678,0.07300548865515395,0.07904109503857655,0.7195323457841369,0.527493950130863,0.24755876232108087,0.33422062086861704,0.35237907291558246,0.15645773774820393,0.07045655124844101,0.7730857110033552
1571,Republican,cold,0.7506240602359413,0.11450761484199345,0.07542422091747855,0.0238785149653704,0.07753599412514785,0.1011724894375833,0.767898570006976,0.6754665411515978,0.3430718757059978,0.37624720204118145,0.41721320900892156,0.24856690179055885,0.14503344546934346,0.6063996527400977
1571,Republican,warm,0.7822085732752188,0.14039574211387754,0.08101641891120534,0.0442127547225684,0.1436384029489385,0.13996163326294825,0.8413679461224303,0.6716244791238407,0.30084403542982846,0.43737487443244477,0.5312169134069537,0.04173861658929045,0.022659744933411725,0.9356016384772978
1571,Republican,NA,0.6820113335110001,0.09461801621593108,0.04958345254034513,0.02619431596751589,0.0835383238991264,0.09500453069664648,0.7491478087859399,0.5998421796976626,0.28193062015564646,0.3694499268126558,0.42782596149207225,0.12696168587460435,0.06973912467964456,0.803299189445751
1572,Democrat,cold,0.6853694292191771,0.11219798713780706,0.06153922705397823,0.03554203280736301,0.09899545643371493,0.0882623172188054,0.7981912050194742,0.6267929162740558,0.3005332813551175,0.3915238509912176,0.36857257972287844,0.296772476468392,0.1584222499225763,0.5448052736090316
1572,Democrat,warm,0.7219588172670203,0.11763239897536536,0.08526024168942295,0.04307814502127823,0.13857103682514804,0.10544015732505176,0.8155514809543193,0.5759471695501553,0.26354344267983254,0.4101250548524134,0.4767669397905327,0.06277863575070118,0.024252187982951763,0.9129691762663471
1572,Democrat,NA,0.6347867991121801,0.08860383245521974,0.0605050492679866,0.02597000407148592,0.0766013519467388,0.0857548788441572,0.7315283468502864,0.5327947394260866,0.2563852257835671,0.347657621804178,0.36602764312220704,0.14944821366960043,0.07245951604956243,0.7780922702808373
1572,Republican,cold,0.767543424026138,0.11345161043180764,0.067631659189102,0.025967178790815525,0.0855793035475349,0.0838931760821607,0.740863781368957,0.6902877237119285,0.3265511536415666,0.3943604538394456,0.4628175480644227,0.252908967466698,0.13686623384677654,0.6102247986865255
1572,Republican,warm,0.7791249929684345,0.13873440961082478,0.08394449548180355,0.04220806326487424,0.13650498799530036,0.13280873743431149,0.8357788919755514,0.6571397721226799,0.3146544191933663,0.41843218702954177,0.5218615002163904,0.042985783039586986,0.023841512900659226,0.9331727040597537
1572,Republican,NA,0.7078947995486378,0.0955329211077685,0.05019083934752649,0.025991032123555215,0.0806103618647098,0.09301521221764268,0.7395539792789169,0.601739142856544,0.2825263737582962,0.37143063688281647,0.43024736158842947,0.1150333383786552,0.07310118741671875,0.8118654742046262
1573,Democrat,cold,0.6621538618912632,0.10671733255101062,0.06468391355087211,0.03611193631350164,0.1112984397659325,0.0828430705672981,0.7650307231265909,0.5900646008998524,0.2686411886770406,0.3594958645245043,0.3502505980771023,0.36353925430017103,0.1654925871554863,0.4709681585443427
1573,Democrat,warm,0.7179765573417191,0.1196959471934528,0.08532885377550607,0.042910456371638386,0.14009041630259803,0.10858044629841909,0.8274176149933248,0.5778052751282673,0.2773864811710658,0.41133587462544613,0.4754524973368866,0.06207654639579014,0.0293959247903531,0.9085275288138568
1573,Democrat,NA,0.629944511802033,0.08524537613483499,0.05594512571025033,0.026153205239757536,0.07460445523981928,0.08326876800640745,0.7291147036040169,0.5468463944237425,0.24736724773507418,0.30756721085603617,0.36309680803615435,0.15469378885373067,0.07281573721323185,0.7724904739330375
1573,Republican,cold,0.7495437095863519,0.11852730263645105,0.06000029622508902,0.03425021368817913,0.07655736757185727,0.10462488586972879,0.7503836554954645,0.6970702805372418,0.32024768916995644,0.37917327540955303,0.4435524545109351,0.25084738629712955,0.14450972980841573,0.6046428838944548
1573,Republican,warm,0.789376607180692,0.1400184756976881,0.08297862221112816,0.04194548423678949,0.13352409395024573,0.14266393948169734,0.8358832786149608,0.665369629633631,0.31613973489918396,0.4529632598307849,0.5281451947623915,0.04777361817978907,0.024925321180383916,0.927301060639827
1573,Republican,NA,0.6901411303274031,0.09259571272456475,0.050734486054713125,0.02420071997799287,0.07856608629809095,0.08237678214916823,0.7323687326609392,0.5971296157612198,0.27753906797954486,0.3796553418799133,0.4107181693155668,0.1099506645122712,0.07867419422632008,0.8113751412614089
1574,Democrat,cold,0.7343112134921559,0.11157701914593177,0.0631421812977017,0.035348018552467504,0.10402668684076453,0.08333332309059475,0.7882423949070152,0.65158383371796,0.28592720906277763,0.4052280965249821,0.37871583873703846,0.3536247440299713,0.15254365168275869,0.49383160428727
