case,age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year,ideo_inparty,ideo_outparty,ideo_self_in_dif,ideo_self_out_dif,ideo_in_out_dif,age_group,ideo_self_std,ideo_self_prt_std,ideo_inparty_std,ideo_inparty_prt_std,ideo_self_in_dif_std,male_dum,white_dum
2012_155,62,Male,White,3,0.468,Didn't Vote,0,5,3,3,70,60,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,4,0.3333333333333333,NA,NA,NA,NA,1,1
2012_156,64,Female,White,NA,0.539,NA,NA,6,3,4,60,50,Democrat,NA,60,50,NA,NA,NA,2012,4,3,2,3,1,4,0.6666666666666666,0.16666666666666669,0,0.5,-0.3333333333333333,0,1
2012_157,54,Female,White,7,0.354,Barack Obama,1,1,7,2,85,30,Democrat,1,85,30,1,Democrat,Winner,2012,2,7,-1,-6,5,3,-1,1,-0.6666666666666666,0.8333333333333333,0.16666666666666674,0,1
2012_158,28,Female,White,NA,0.869,Didn't Vote,0,NA,5,5,50,50,Independent,NA,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1
2012_159,71,Male,White,19,0.998,Barack Obama,1,4,7,2,85,15,Democrat,0,85,15,1,Democrat,Winner,2012,2,7,2,-3,5,5,0,0.5,-0.6666666666666666,0.8333333333333333,-0.33333333333333326,1,1
2012_160,41,Female,White,11,0.828,Didn't Vote,0,4,NA,NA,-8,-8,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,1
2012_161,31,Female,White,21,2.131,Didn't Vote,0,NA,NA,NA,50,50,NA,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1
2012_162,72,Female,White,NA,2.163,Herman Cain,1,4,7,1,70,40,Democrat,NA,70,40,1,Republican,Voted in Other Party Primary,2012,1,7,3,-3,6,5,0,0.5,-1,1,-0.5,0,1
2012_163,28,Male,White,NA,0.781,Didn't Vote,0,4,NA,NA,65,65,NA,NA,NA,NA,0,NA,NA,2012,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,1
2012_164,46,Female,Other,3,0.273,Didn't Vote,0,6,2,4,50,0,Democrat,1,50,0,0,NA,Didn't Vote,2012,4,2,2,4,2,3,0.6666666666666666,0.16666666666666669,0,0.5,-0.3333333333333333,0,0
2012_165,32,Male,White,20,1.813,Didn't Vote,0,4,1,7,60,40,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,1
2012_166,69,Female,White,12,0.741,Rick Santorum,1,6,3,1,15,60,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2012,NA,NA,NA,NA,NA,5,0.6666666666666666,NA,NA,NA,NA,0,1
2012_167,24,Female,Other,3,2.201,Didn't Vote,0,NA,2,2,0,0,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0
2012_168,37,Male,White,26,1.016,Didn't Vote,0,3,5,3,50,60,Republican,0,60,50,0,NA,Didn't Vote,2012,5,3,-2,0,2,2,-0.3333333333333333,0.33333333333333337,0.3333333333333333,0.6666666666666666,-0.33333333333333326,1,1
2012_169,42,Male,White,25,2.747,Didn't Vote,0,2,5,4,55,0,Democrat,0,55,0,0,NA,Didn't Vote,2012,4,5,-2,-3,1,2,-0.6666666666666666,0.8333333333333333,0,0.5,0.33333333333333326,1,1
2012_170,20,Male,Other,11,1.484,Didn't Vote,0,NA,3,3,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0
2012_171,76,Male,White,11,1.962,Didn't Vote,0,6,5,2,0,100,Republican,1,100,0,0,NA,Didn't Vote,2012,5,2,1,4,3,5,0.6666666666666666,0.8333333333333333,0.3333333333333333,0.6666666666666666,0.16666666666666663,1,1
2012_172,NA,Male,White,28,2.287,Didn't Vote,0,4,7,2,25,25,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1
2012_173,73,Female,White,12,0.843,Mitt Romney,1,6,6,2,15,85,Republican,0,85,15,1,Republican,Winner,2012,6,2,0,4,4,5,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.8333333333333333,0,0,1
2012_174,58,Male,White,28,1.368,Didn't Vote,0,5,7,2,50,60,Republican,0,60,50,0,NA,Didn't Vote,2012,7,2,-2,3,5,4,0.3333333333333333,0.6666666666666666,1,1,-0.33333333333333337,1,1
2012_175,56,Female,White,27,1.381,Didn't Vote,0,5,6,1,50,70,Republican,0,70,50,0,NA,Didn't Vote,2012,6,1,-1,4,5,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,-0.16666666666666663,0,1
2012_176,64,Male,White,NA,2.045,Didn't Vote,0,NA,NA,NA,40,85,Independent,NA,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,1
2012_177,23,Male,White,25,1.955,Didn't Vote,0,2,6,3,90,2,Democrat,0,90,2,0,NA,Didn't Vote,2012,3,6,-1,-4,3,1,-0.6666666666666666,0.8333333333333333,-0.3333333333333333,0.6666666666666666,0.16666666666666663,1,1
2012_178,19,Female,White,12,2.037,Didn't Vote,0,3,6,2,60,70,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,1,-0.3333333333333333,NA,NA,NA,NA,0,1
2012_179,51,Female,White,20,0.755,Didn't Vote,0,4,6,3,70,60,Independent,0,NA,NA,0,NA,Didn't Vote,2012,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,0,1
2012_180,82,Male,White,11,1.943,Barack Obama,1,3,6,3,50,50,Independent,1,NA,NA,1,Democrat,Voted in Other Party Primary,2012,NA,NA,NA,NA,NA,5,-0.3333333333333333,NA,NA,NA,NA,1,1
2012_181,58,Male,White,NA,2.416,Mitt Romney,1,6,7,3,40,70,Republican,NA,70,40,1,Republican,Winner,2012,7,3,-1,3,4,4,0.6666666666666666,0.8333333333333333,1,1,-0.16666666666666674,1,1
2012_182,18,Male,Other,NA,1.553,Didn't Vote,0,NA,2,6,40,60,Republican,NA,60,40,0,NA,Didn't Vote,2012,2,6,NA,NA,4,1,NA,NA,-0.6666666666666666,0.16666666666666669,NA,1,0
