case,age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year,ideo_inparty,ideo_outparty,ideo_self_in_dif,ideo_self_out_dif,ideo_in_out_dif,age_group,ideo_self_std,ideo_self_prt_std,ideo_inparty_std,ideo_inparty_prt_std,ideo_self_in_dif_std,male_dum,white_dum
2016_1,29,Male,White,13,0.827,Didn't Vote,NA,NA,5,1,0,70,Republican,0,70,0,0,NA,Didn't Vote,2016,5,1,NA,NA,4,1,NA,NA,0.3333333333333333,0.6666666666666666,NA,1,1
2016_2,26,Male,White,17,1.0806,Didn't Vote,NA,5,6,2,15,85,Republican,0,85,15,0,NA,Didn't Vote,2016,6,2,-1,3,4,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,-0.16666666666666663,1,1
2016_3,23,Male,White,6,0.3878,Didn't Vote,NA,NA,4,4,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
2016_4,58,Male,White,20,0.3596,Didn't Vote,NA,NA,5,2,30,70,NA,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,1
2016_5,38,Female,White,3,0.647,Didn't Vote,NA,4,6,2,70,40,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,1
2016_6,60,Male,White,1,0.7062,Didn't Vote,NA,6,6,1,15,30,NA,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,4,0.6666666666666666,NA,NA,NA,NA,1,1
2016_7,58,Male,Black,22,3.9604,Hillary Clinton,1,NA,NA,4,85,15,Democrat,0,85,15,1,Democrat,Winner,2016,4,NA,NA,NA,NA,4,NA,NA,0,0.5,NA,1,0
2016_8,56,Female,White,28,0.962,Donald Trump,1,5,7,1,0,40,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,3,0.3333333333333333,NA,NA,NA,NA,0,1
2016_9,45,Male,Other,12,0.9761,Didn't Vote,NA,4,6,1,15,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,1,0
2016_10,30,Female,White,19,0.6182,Didn't Vote,NA,3,5,5,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,-0.3333333333333333,NA,NA,NA,NA,0,1
2016_11,40,Female,White,11,2.146,Didn't Vote,NA,NA,4,NA,0,60,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1
2016_12,86,Female,White,14,0.5548,Didn't Vote,NA,2,7,2,85,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,5,-0.6666666666666666,NA,NA,NA,NA,0,1
2016_13,30,Male,Other,24,0.919,Didn't Vote,NA,4,5,1,40,70,NA,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,0
2016_14,67,Male,White,14,1.166,Bernie Sanders,1,NA,6,2,15,50,Democrat,0,15,50,1,Democrat,Loser,2016,2,6,NA,NA,4,5,NA,NA,-0.6666666666666666,0.8333333333333333,NA,1,1
2016_15,62,Female,White,10,0.335,Hillary Clinton,1,2,7,3,85,30,Democrat,1,85,30,1,Democrat,Winner,2016,3,7,-1,-5,4,4,-0.6666666666666666,0.8333333333333333,-0.3333333333333333,0.6666666666666666,0.16666666666666663,0,1
2016_16,51,Male,White,3,1.05,Didn't Vote,NA,NA,NA,NA,60,50,Democrat,1,60,50,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1
2016_17,46,Male,Other,27,0.8084,Hillary Clinton,1,2,7,3,70,15,Democrat,0,70,15,1,Democrat,Winner,2016,3,7,-1,-5,4,3,-0.6666666666666666,0.8333333333333333,-0.3333333333333333,0.6666666666666666,0.16666666666666663,1,0
2016_18,70,Male,White,16,0.2423,Didn't Vote,NA,6,6,2,30,70,Republican,0,70,30,0,NA,Didn't Vote,2016,6,2,0,4,4,5,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.8333333333333333,0,1,1
2016_19,30,Female,White,26,1.7603,Hillary Clinton,1,3,6,2,70,15,Democrat,0,70,15,1,Democrat,Winner,2016,2,6,1,-3,4,1,-0.3333333333333333,0.6666666666666666,-0.6666666666666666,0.8333333333333333,-0.16666666666666663,0,1
2016_20,67,Female,White,22,1.3938,Bernie Sanders,1,NA,4,2,40,60,Republican,0,60,40,1,Democrat,Voted in Other Party Primary,2016,4,2,NA,NA,2,5,NA,NA,0,0.5,NA,0,1
2016_21,66,Female,White,20,0.8591,Ted Cruz,1,5,6,1,15,70,Republican,0,70,15,1,Republican,Loser,2016,6,1,-1,4,5,4,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,-0.16666666666666663,0,1
2016_22,32,Female,White,3,0.5387,Didn't Vote,NA,3,6,2,40,80,Republican,1,80,40,0,NA,Didn't Vote,2016,6,2,-3,1,4,1,-0.3333333333333333,0.33333333333333337,0.6666666666666666,0.8333333333333333,-0.4999999999999999,0,1
2016_23,56,Female,White,NA,2.7749,John Kasich,1,NA,6,3,50,15,NA,NA,NA,NA,1,NA,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,1
2016_24,65,Female,White,15,0.5215,Didn't Vote,NA,6,5,3,40,60,NA,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,4,0.6666666666666666,NA,NA,NA,NA,0,1
2016_25,61,Male,Other,13,1.0294,Didn't Vote,NA,7,4,1,15,40,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,1,0
2016_26,34,Male,Other,9,0.8431,Didn't Vote,NA,NA,NA,NA,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,0
2016_27,68,Other/Refused,White,NA,0.2153,Didn't Vote,NA,2,5,NA,50,60,Independent,NA,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,5,-0.6666666666666666,NA,NA,NA,NA,0,1
2016_28,25,Female,White,17,0.9996,Didn't Vote,NA,NA,4,4,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1
2016_29,73,Male,White,17,0.976,Hillary Clinton,1,2,6,3,85,15,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,5,-0.6666666666666666,NA,NA,NA,NA,1,1
2016_30,67,Female,White,22,1.8963,Didn't Vote,NA,4,4,2,30,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,0,1
2016_31,35,Female,White,22,0.9458,Didn't Vote,NA,2,7,2,70,70,Democrat,0,70,70,0,NA,Didn't Vote,2016,2,7,0,-5,5,2,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,0,1
2016_32,64,Male,White,24,0.3137,Didn't Vote,NA,6,2,1,0,15,Republican,0,15,0,0,NA,Didn't Vote,2016,2,1,4,5,1,4,0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.16666666666666669,0.6666666666666665,1,1
2016_33,73,Female,White,NA,0.9602,Donald Trump,1,6,6,1,0,85,Republican,NA,85,0,1,Republican,Winner,2016,6,1,0,5,5,5,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.8333333333333333,0,0,1
2016_34,69,Male,White,17,0.2302,Donald Trump,1,7,4,1,0,60,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,1,1
2016_35,41,Female,White,11,0.5052,Didn't Vote,NA,4,6,1,40,50,Republican,1,50,40,0,NA,Didn't Vote,2016,6,1,-2,3,5,2,0,0.5,0.6666666666666666,0.8333333333333333,-0.33333333333333326,0,1
2016_36,67,Male,White,6,0.595,Didn't Vote,NA,2,6,2,60,40,Democrat,1,60,40,0,NA,Didn't Vote,2016,2,6,0,-4,4,5,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,1,1
2016_37,59,Female,White,7,1.2441,Didn't Vote,NA,NA,5,3,60,30,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,1
2016_38,54,Male,White,21,0.5705,Donald Trump,1,4,5,1,15,85,Republican,0,85,15,1,Republican,Winner,2016,5,1,-1,3,4,3,0,0.5,0.3333333333333333,0.6666666666666666,-0.16666666666666663,1,1
2016_39,48,Male,Other,5,0.9134,Didn't Vote,NA,4,4,4,60,85,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,1,0
2016_40,26,Female,Black,21,2.0735,Didn't Vote,NA,2,7,2,85,30,Democrat,0,85,30,0,NA,Didn't Vote,2016,2,7,0,-5,5,1,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,0,0
2016_41,NA,Other/Refused,White,NA,1.1632,Donald Trump,1,6,5,2,40,80,Independent,NA,NA,NA,1,Republican,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,NA,0.6666666666666666,NA,NA,NA,NA,0,1
2016_42,25,Female,White,9,0.2349,Another Republican,1,5,6,2,15,70,Republican,1,70,15,1,Republican,Loser,2016,6,2,-1,3,4,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,-0.16666666666666663,0,1
2016_43,46,Female,Black,19,0.7569,Didn't Vote,NA,1,7,1,100,0,Democrat,0,100,0,0,NA,Didn't Vote,2016,1,7,0,-6,6,3,-1,1,-1,1,0,0,0
2016_44,59,Male,White,14,0.7611,Donald Trump,1,6,6,1,0,100,Republican,0,100,0,1,Republican,Winner,2016,6,1,0,5,5,4,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.8333333333333333,0,1,1
2016_45,39,Female,White,14,0.9391,Didn't Vote,NA,4,7,1,0,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,1
2016_46,52,Female,White,26,1.2799,Hillary Clinton,1,3,6,2,60,30,Democrat,0,60,30,1,Democrat,Winner,2016,2,6,1,-3,4,3,-0.3333333333333333,0.6666666666666666,-0.6666666666666666,0.8333333333333333,-0.16666666666666663,0,1
2016_47,29,Female,Other,13,0.2348,Didn't Vote,NA,6,5,6,60,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,0.6666666666666666,NA,NA,NA,NA,0,0
2016_48,46,Male,White,17,0.51,Bernie Sanders,1,4,4,6,30,85,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,1,1
2016_49,45,Male,Other,24,0.9644,Didn't Vote,NA,2,6,2,70,40,Democrat,0,70,40,0,NA,Didn't Vote,2016,2,6,0,-4,4,2,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,1,0
2016_50,64,Male,Black,1,1.0705,Hillary Clinton,1,NA,NA,NA,85,60,Democrat,1,85,60,1,Democrat,Winner,2016,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,0
2016_51,43,Female,White,1,1.2944,Didn't Vote,NA,4,4,4,85,15,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,1
2016_52,61,Female,White,22,0.2921,Hillary Clinton,1,2,6,2,85,40,Democrat,0,85,40,1,Democrat,Winner,2016,2,6,0,-4,4,4,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,0,1
2016_53,30,Male,White,14,0.3374,Donald Trump,1,5,5,2,30,40,Republican,0,40,30,1,Republican,Winner,2016,5,2,0,3,3,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,1,1
2016_54,55,Male,White,26,0.4777,Didn't Vote,NA,6,5,3,30,70,Republican,0,70,30,0,NA,Didn't Vote,2016,5,3,1,3,2,3,0.6666666666666666,0.8333333333333333,0.3333333333333333,0.6666666666666666,0.16666666666666663,1,1
2016_55,35,Female,White,27,0.6189,Didn't Vote,NA,2,7,2,70,15,Democrat,0,70,15,0,NA,Didn't Vote,2016,2,7,0,-5,5,2,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,0,1
2016_56,24,Female,White,14,1.6747,Bernie Sanders,1,3,7,1,70,60,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,1,-0.3333333333333333,NA,NA,NA,NA,0,1
2016_57,85,Female,Other,6,0.4045,Didn't Vote,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0
2016_58,61,Male,Other,1,0.3406,Hillary Clinton,1,4,4,1,85,15,Democrat,1,85,15,1,Democrat,Winner,2016,1,4,3,0,3,4,0,0.5,-1,1,-0.5,1,0
2016_59,52,Female,White,19,0.6149,Didn't Vote,NA,2,7,2,70,15,Democrat,0,70,15,0,NA,Didn't Vote,2016,2,7,0,-5,5,3,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,0,1
2016_60,56,Male,White,14,1.0145,Didn't Vote,NA,NA,NA,NA,30,70,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1
2016_61,68,Male,Black,NA,0.4979,Bernie Sanders,1,2,6,3,85,30,Democrat,NA,85,30,1,Democrat,Loser,2016,3,6,-1,-4,3,5,-0.6666666666666666,0.8333333333333333,-0.3333333333333333,0.6666666666666666,0.16666666666666663,1,0
2016_62,76,Female,Black,7,1.263,Didn't Vote,NA,NA,NA,5,85,40,Democrat,1,85,40,0,NA,Didn't Vote,2016,5,NA,NA,NA,NA,5,NA,NA,0.3333333333333333,0.33333333333333337,NA,0,0
2016_63,31,Male,White,17,0.6266,Didn't Vote,NA,4,4,4,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,1
2016_64,19,Female,White,27,0.6756,Didn't Vote,NA,4,7,1,30,50,Republican,0,50,30,0,NA,Didn't Vote,2016,7,1,-3,3,6,1,0,0.5,1,1,-0.5,0,1
2016_65,47,Female,White,3,1.7217,Didn't Vote,NA,NA,1,4,40,40,Democrat,1,40,40,0,NA,Didn't Vote,2016,4,1,NA,NA,3,3,NA,NA,0,0.5,NA,0,1
2016_66,68,Female,White,5,0.7446,Didn't Vote,NA,4,6,3,70,40,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,0,1
2016_67,57,Male,White,27,5.1289,Hillary Clinton,1,2,6,2,85,30,Democrat,0,85,30,1,Democrat,Winner,2016,2,6,0,-4,4,4,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,1,1
2016_68,27,Female,White,11,1.656,Didn't Vote,NA,5,4,4,40,40,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,0.3333333333333333,NA,NA,NA,NA,0,1
2016_69,32,Female,White,3,0.5162,Didn't Vote,NA,5,5,1,60,40,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,0.3333333333333333,NA,NA,NA,NA,0,1
2016_70,45,Male,White,13,0.374,Didn't Vote,NA,2,7,2,70,30,Democrat,0,70,30,0,NA,Didn't Vote,2016,2,7,0,-5,5,2,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,1,1
2016_71,50,Female,Other,8,0.4137,Didn't Vote,NA,NA,1,4,60,50,Democrat,1,60,50,0,NA,Didn't Vote,2016,4,1,NA,NA,3,3,NA,NA,0,0.5,NA,0,0
2016_72,68,Female,Black,18,0.5057,Hillary Clinton,1,2,6,2,85,15,Democrat,0,85,15,1,Democrat,Winner,2016,2,6,0,-4,4,5,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,0,0
2016_73,60,Male,Other,20,1.4863,Hillary Clinton,1,NA,6,2,70,15,Democrat,0,70,15,1,Democrat,Winner,2016,2,6,NA,NA,4,4,NA,NA,-0.6666666666666666,0.8333333333333333,NA,1,0
2016_74,36,Female,Other,3,0.2232,Bernie Sanders,1,2,7,3,70,40,Independent,1,NA,NA,1,Democrat,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,2,-0.6666666666666666,NA,NA,NA,NA,0,0
2016_75,27,Female,Other,4,1.0329,Didn't Vote,NA,NA,6,4,85,30,Democrat,1,85,30,0,NA,Didn't Vote,2016,4,6,NA,NA,2,1,NA,NA,0,0.5,NA,0,0
2016_76,-8,Male,Other,12,0.5135,Didn't Vote,NA,4,5,3,50,85,Republican,0,85,50,0,NA,Didn't Vote,2016,5,3,-1,1,2,1,0,0.5,0.3333333333333333,0.6666666666666666,-0.16666666666666663,1,0
2016_77,46,Female,White,23,0.311,Another Republican,1,4,NA,NA,30,60,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,0,1
2016_78,35,Male,White,15,0.5711,Bernie Sanders,1,3,6,2,30,15,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,2,-0.3333333333333333,NA,NA,NA,NA,1,1
2016_79,44,Female,White,9,1.3222,Didn't Vote,NA,4,4,4,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,1
2016_80,78,Female,Black,4,1.0308,Bernie Sanders,1,NA,7,4,100,0,Democrat,1,100,0,1,Democrat,Loser,2016,4,7,NA,NA,3,5,NA,NA,0,0.5,NA,0,0
2016_81,83,Male,White,15,0.6438,Donald Trump,1,6,6,2,30,60,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,5,0.6666666666666666,NA,NA,NA,NA,1,1
2016_82,65,Female,Other,1,0.2539,Didn't Vote,NA,4,3,3,75,75,NA,1,NA,NA,0,NA,NA,2016,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,0,0
2016_83,55,Male,White,11,1.9046,Hillary Clinton,1,4,1,3,70,50,Democrat,1,70,50,1,Democrat,Winner,2016,3,1,1,3,2,3,0,0.5,-0.3333333333333333,0.6666666666666666,-0.16666666666666663,1,1
2016_84,69,Female,Other,12,0.3116,Hillary Clinton,1,NA,7,4,85,0,Democrat,0,85,0,1,Democrat,Winner,2016,4,7,NA,NA,3,5,NA,NA,0,0.5,NA,0,0
2016_85,55,Male,Black,26,0.3921,Didn't Vote,NA,4,6,3,40,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,1,0
2016_86,31,Male,White,3,1.0153,Didn't Vote,NA,3,6,2,75,10,NA,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,-0.3333333333333333,NA,NA,NA,NA,1,1
2016_87,68,Male,White,12,0.5961,John Kasich,1,2,6,2,60,30,Independent,0,NA,NA,1,NA,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,5,-0.6666666666666666,NA,NA,NA,NA,1,1
2016_88,42,Male,White,25,1.2481,Donald Trump,1,4,5,3,15,15,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,1,1
2016_89,82,Female,White,15,0.8181,Donald Trump,1,6,6,1,50,100,Republican,0,100,50,1,Republican,Winner,2016,6,1,0,5,5,5,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.8333333333333333,0,0,1
2016_90,53,Female,White,24,0.3122,Another Republican,1,7,5,2,0,40,Republican,0,40,0,1,Republican,Loser,2016,5,2,2,5,3,3,1,1,0.3333333333333333,0.6666666666666666,0.33333333333333337,0,1
2016_91,65,Male,White,16,0.8017,Donald Trump,1,6,6,2,30,60,Republican,0,60,30,1,Republican,Winner,2016,6,2,0,4,4,4,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.8333333333333333,0,1,1
2016_92,42,Female,Black,1,1.5802,Didn't Vote,NA,2,7,1,85,0,Democrat,1,85,0,0,NA,Didn't Vote,2016,1,7,1,-5,6,2,-0.6666666666666666,0.8333333333333333,-1,1,-0.16666666666666674,0,0
2016_93,48,Male,Other,NA,0.3596,Didn't Vote,NA,4,4,4,70,60,Democrat,NA,70,60,0,NA,Didn't Vote,2016,4,4,0,0,0,3,0,0.5,0,0.5,0,1,0
2016_94,30,Male,White,24,0.3686,Hillary Clinton,1,2,7,2,95,10,Democrat,0,95,10,1,Democrat,Winner,2016,2,7,0,-5,5,1,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,1,1
2016_95,23,Female,Other,15,1.149,Didn't Vote,NA,5,6,2,40,40,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,0.3333333333333333,NA,NA,NA,NA,0,0
2016_96,51,Male,White,22,0.9668,Didn't Vote,NA,5,3,5,50,60,Republican,0,60,50,0,NA,Didn't Vote,2016,3,5,2,0,2,3,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.33333333333333326,1,1
2016_97,31,Female,White,24,0.6728,Didn't Vote,NA,NA,6,1,0,100,Republican,0,100,0,0,NA,Didn't Vote,2016,6,1,NA,NA,5,1,NA,NA,0.6666666666666666,0.8333333333333333,NA,0,1
2016_98,68,Male,Other,6,0.3265,Hillary Clinton,1,4,7,6,70,50,Democrat,1,70,50,1,Democrat,Winner,2016,6,7,-2,-3,1,5,0,0.5,0.6666666666666666,0.16666666666666669,0.3333333333333333,1,0
2016_99,66,Female,White,14,0.3111,Didn't Vote,NA,4,5,4,40,40,NA,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,0,1
2016_100,29,Female,White,24,0.4792,Didn't Vote,NA,5,7,1,30,70,Republican,0,70,30,0,NA,Didn't Vote,2016,7,1,-2,4,6,1,0.3333333333333333,0.6666666666666666,1,1,-0.33333333333333337,0,1
2016_101,36,Female,White,26,0.567,Didn't Vote,NA,2,6,2,85,15,Democrat,0,85,15,0,NA,Didn't Vote,2016,2,6,0,-4,4,2,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,0,1
2016_102,47,Female,White,24,1.6613,Hillary Clinton,1,3,6,3,85,0,Democrat,0,85,0,1,Democrat,Winner,2016,3,6,0,-3,3,3,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.6666666666666666,0,0,1
2016_103,61,Male,White,22,1.4018,Didn't Vote,NA,5,5,4,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,4,0.3333333333333333,NA,NA,NA,NA,1,1
2016_104,26,Female,White,12,2.1088,Didn't Vote,NA,2,7,2,85,30,Democrat,0,85,30,0,NA,Didn't Vote,2016,2,7,0,-5,5,1,-0.6666666666666666,0.8333333333333333,-0.6666666666666666,0.8333333333333333,0,0,1
2016_105,88,Male,White,NA,0.8667,Didn't Vote,NA,NA,NA,1,15,50,Republican,NA,50,15,0,NA,Didn't Vote,2016,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,1,1
2016_106,83,Female,Other,1,0.678,Bernie Sanders,1,1,2,2,70,50,Democrat,1,70,50,1,Democrat,Loser,2016,2,2,-1,-1,0,5,-1,1,-0.6666666666666666,0.8333333333333333,0.16666666666666674,0,0
2016_107,51,Male,White,27,1.1388,Didn't Vote,NA,3,6,2,40,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,3,-0.3333333333333333,NA,NA,NA,NA,1,1
2016_108,36,Male,White,17,0.9688,Hillary Clinton,1,5,6,2,70,70,Republican,0,70,70,1,Democrat,Voted in Other Party Primary,2016,6,2,-1,3,4,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,-0.16666666666666663,1,1
2016_109,68,Female,White,7,0.6544,Didn't Vote,NA,4,5,4,100,0,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,0,1
2016_110,23,Male,Other,5,1.1231,Didn't Vote,NA,4,5,2,70,70,Independent,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,0
2016_111,34,Female,White,15,1.0482,Didn't Vote,NA,NA,NA,NA,40,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1
2016_112,58,Female,White,25,1.3758,Donald Trump,1,4,7,1,15,85,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,0,1
2016_113,69,Male,Other,14,0.8591,John Kasich,1,5,6,2,40,60,Independent,0,NA,NA,1,NA,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,5,0.3333333333333333,NA,NA,NA,NA,1,0
2016_114,19,Male,Other,24,1.3784,Didn't Vote,NA,NA,2,6,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0
2016_115,30,Male,Other,12,0.5574,Bernie Sanders,1,NA,6,5,70,40,Democrat,0,70,40,1,Democrat,Loser,2016,5,6,NA,NA,1,1,NA,NA,0.3333333333333333,0.33333333333333337,NA,1,0
2016_116,75,Female,White,11,1.8809,Bernie Sanders,1,4,6,1,0,60,NA,1,NA,NA,1,Democrat,Voted in Other Party Primary,2016,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,0,1
2016_117,50,Male,White,22,1.2423,Didn't Vote,NA,4,5,2,30,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,1,1
2016_118,54,Male,Other,17,0.4647,Bernie Sanders,1,NA,2,4,85,50,Democrat,0,85,50,1,Democrat,Loser,2016,4,2,NA,NA,2,3,NA,NA,0,0.5,NA,1,0
2016_119,38,Female,White,13,1.0547,Didn't Vote,NA,NA,NA,NA,100,0,Democrat,0,100,0,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1
2016_120,27,Female,White,14,1.4611,Didn't Vote,NA,4,2,4,40,60,Republican,0,60,40,0,NA,Didn't Vote,2016,2,4,2,0,2,1,0,0.5,-0.6666666666666666,0.16666666666666669,0.3333333333333333,0,1
2016_121,69,Female,White,1,0.1465,Didn't Vote,NA,NA,6,1,50,50,NA,1,NA,NA,0,NA,Didn't Vote,2016,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,1
2016_122,43,Female,Other,22,1.0142,Didn't Vote,NA,5,6,2,2,85,Republican,0,85,2,0,NA,Didn't Vote,2016,6,2,-1,3,4,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,-0.16666666666666663,0,0
