age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year
62,Male,White,24,1.0305,Didn't Vote,NA,99,7,4,70,60,Democrat,0,70,60,0,NA,Didn't Vote,2016
65,Male,White,25,0.8107,Donald Trump,1,5,7,1,0,9,Republican,0,9,0,1,Republican,Winner,2016
69,Male,White,3,0.6476,Didn't Vote,NA,99,4,4,15,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016
40,Female,White,17,1.6053,Didn't Vote,NA,4,1,1,40,70,Independent,0,NA,NA,0,NA,Didn't Vote,2016
38,Female,Other,5,2.3252,Didn't Vote,NA,99,3,5,60,30,Independent,1,NA,NA,0,NA,Didn't Vote,2016
NA,Male,NA,NA,0.7272,Didn't Vote,NA,99,7,1,NA,NA,NA,NA,NA,NA,0,NA,NA,2016
26,Male,Black,6,2.8473,Didn't Vote,NA,4,6,4,51,39,Independent,1,NA,NA,0,NA,Didn't Vote,2016
68,Female,Other,7,0.7351,Hillary Clinton,1,99,3,4,70,60,Democrat,1,70,60,1,Democrat,Winner,2016
65,Female,White,12,0.3447,Ted Cruz,1,99,6,2,15,70,Republican,0,70,15,1,Republican,Loser,2016
67,Female,White,16,0.7222,Hillary Clinton,1,2,7,1,85,0,Democrat,0,85,0,1,Democrat,Winner,2016
54,Female,White,12,0.6896,Didn't Vote,NA,3,4,4,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
36,Male,White,24,0.6998,Donald Trump,1,6,5,2,23,60,Republican,0,60,23,1,Republican,Winner,2016
63,Female,White,28,0.3537,Didn't Vote,NA,2,7,2,70,30,Democrat,0,70,30,0,NA,Didn't Vote,2016
50,Male,White,10,0.506,Didn't Vote,NA,4,6,2,7,87,Republican,1,87,7,0,NA,Didn't Vote,2016
44,Female,White,6,0.4306,Didn't Vote,NA,99,4,1,2,53,Republican,1,53,2,0,NA,Didn't Vote,2016
51,Female,White,14,0.3798,Didn't Vote,NA,99,4,4,50,48,Independent,0,NA,NA,0,NA,Didn't Vote,2016
62,Female,White,21,0.4172,Ted Cruz,1,7,6,1,1,85,Republican,0,85,1,1,Republican,Loser,2016
56,Male,Other,27,1.1105,Didn't Vote,NA,99,2,1,0,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016
NA,Male,White,NA,0.4329,Didn't Vote,NA,6,7,2,0,70,Independent,NA,NA,NA,0,NA,Didn't Vote,2016
39,Female,White,12,0.9037,Didn't Vote,NA,5,6,1,28,74,Independent,0,NA,NA,0,NA,Didn't Vote,2016
54,Female,White,20,1.3459,Hillary Clinton,1,3,7,2,70,15,Democrat,0,70,15,1,Democrat,Winner,2016
63,Male,White,15,1.643,Hillary Clinton,1,5,7,4,85,50,Democrat,0,85,50,1,Democrat,Winner,2016
72,Male,White,NA,0.3376,Ted Cruz,1,6,5,1,0,65,Republican,NA,65,0,1,Republican,Loser,2016
30,Female,White,20,0.3884,Didn't Vote,NA,3,6,3,75,18,Independent,0,NA,NA,0,NA,Didn't Vote,2016
64,Male,White,9,0.3637,Donald Trump,1,7,5,1,30,50,Republican,1,50,30,1,Republican,Winner,2016
39,Male,White,7,1.5313,A Third Party Candidate,1,4,5,4,50,50,Independent,1,NA,NA,1,Other/Third Party,Voted in Other Party Primary,2016
44,Female,White,6,0.4838,Donald Trump,1,99,5,3,40,70,Democrat,1,40,70,1,Republican,Voted in Other Party Primary,2016
73,Female,White,25,0.6387,Donald Trump,1,7,6,1,17,71,Republican,0,71,17,1,Republican,Winner,2016
54,Male,White,15,0.7902,Hillary Clinton,1,99,2,4,80,70,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
75,Female,Black,NA,0.9433,Didn't Vote,NA,99,1,6,85,50,NA,NA,NA,NA,0,NA,NA,2016
47,Male,Other,12,0.9807,Didn't Vote,NA,-9,4,3,50,70,Republican,0,70,50,0,NA,Didn't Vote,2016
42,Female,White,22,0.5212,Hillary Clinton,1,3,7,2,70,15,Democrat,0,70,15,1,Democrat,Winner,2016
53,Female,Black,17,0.499,Hillary Clinton,1,4,3,4,85,15,Democrat,0,85,15,1,Democrat,Winner,2016
67,Male,White,27,0.6799,Ted Cruz,1,7,2,1,15,60,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
69,Female,Black,10,0.6365,Didn't Vote,NA,1,7,3,40,15,Democrat,1,40,15,0,NA,Didn't Vote,2016
59,Female,White,14,1.3751,Donald Trump,1,7,5,2,0,41,Republican,0,41,0,1,Republican,Winner,2016
33,Female,Other,13,1.1102,Didn't Vote,NA,99,2,2,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
63,Male,White,26,0.6337,Bernie Sanders,1,1,7,3,70,0,Democrat,0,70,0,1,Democrat,Loser,2016
29,Male,White,17,0.6956,Didn't Vote,NA,5,7,1,0,0,Independent,0,NA,NA,0,NA,Didn't Vote,2016
67,Male,White,14,0.6618,Didn't Vote,NA,5,5,3,40,85,Republican,0,85,40,0,NA,Didn't Vote,2016
57,Male,Other,16,0.7844,Didn't Vote,NA,99,2,6,100,30,Democrat,0,100,30,0,NA,Didn't Vote,2016
27,Female,White,15,0.4017,Didn't Vote,NA,5,6,2,2,91,Republican,0,91,2,0,NA,Didn't Vote,2016
66,Female,Black,6,1.3727,Hillary Clinton,1,99,6,2,100,0,Democrat,1,100,0,1,Democrat,Winner,2016
55,Male,White,17,0.9305,Hillary Clinton,1,4,7,2,98,4,Democrat,0,98,4,1,Democrat,Winner,2016
NA,Female,NA,23,0.6969,Didn't Vote,NA,99,-9,-9,51,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
23,Male,White,1,1.6731,Bernie Sanders,1,5,6,3,75,45,Democrat,1,75,45,1,Democrat,Loser,2016
57,Male,Black,5,1.1481,Hillary Clinton,1,99,3,1,99,60,Democrat,1,99,60,1,Democrat,Winner,2016
61,Male,White,25,0.6217,Bernie Sanders,1,4,7,1,15,40,Other,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
50,Female,White,11,1.1958,Didn't Vote,NA,3,7,2,40,30,Democrat,1,40,30,0,NA,Didn't Vote,2016
68,Female,White,28,0.8126,Hillary Clinton,1,4,6,3,76,59,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
46,Male,White,28,0.8832,Didn't Vote,NA,5,5,2,38,50,Republican,0,50,38,0,NA,Didn't Vote,2016
39,Other/Refused,NA,8,0.3777,Hillary Clinton,1,4,4,4,0,0,Other,1,NA,NA,1,Democrat,Voted in Other Party Primary,2016
66,Male,White,27,0.7678,Didn't Vote,NA,7,3,1,0,40,Independent,0,NA,NA,0,NA,Didn't Vote,2016
65,Male,White,27,0.6129,Hillary Clinton,1,2,7,2,90,0,Democrat,0,90,0,1,Democrat,Winner,2016
71,Female,Black,23,1.2753,Hillary Clinton,1,2,6,4,100,50,Democrat,0,100,50,1,Democrat,Winner,2016
38,Male,Other,7,0.6393,Didn't Vote,NA,-9,5,5,50,50,Other,1,NA,NA,0,NA,Didn't Vote,2016
61,Male,White,26,1.2411,Bernie Sanders,1,3,5,3,61,60,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
44,Female,White,12,0.3938,Didn't Vote,NA,99,4,4,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
28,Female,White,14,0.368,Didn't Vote,NA,4,6,2,50,50,Other,0,NA,NA,0,NA,Didn't Vote,2016
34,Male,White,22,0.6998,Didn't Vote,NA,99,4,4,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
62,Female,White,21,1.2615,Hillary Clinton,1,99,1,4,70,0,Democrat,0,70,0,1,Democrat,Winner,2016
49,Female,White,23,0.91,Didn't Vote,NA,99,4,4,NA,NA,Republican,0,NA,NA,0,NA,Didn't Vote,2016
27,Female,White,7,0.7441,Bernie Sanders,1,3,6,2,85,15,Democrat,1,85,15,1,Democrat,Loser,2016
65,Male,White,1,0.661,Didn't Vote,NA,6,3,1,15,15,Independent,1,NA,NA,0,NA,Didn't Vote,2016
35,Female,White,19,0.8795,Bernie Sanders,1,1,6,3,70,0,Democrat,0,70,0,1,Democrat,Loser,2016
51,Female,White,14,1.912,Didn't Vote,NA,4,6,1,15,72,Independent,0,NA,NA,0,NA,Didn't Vote,2016
56,Male,White,13,2.1524,Bernie Sanders,1,3,7,4,60,15,Democrat,0,60,15,1,Democrat,Loser,2016
39,Male,White,21,0.7204,Bernie Sanders,1,1,7,3,85,15,Democrat,0,85,15,1,Democrat,Loser,2016
44,Female,White,3,0.8159,Didn't Vote,NA,99,4,3,62,74,Republican,1,74,62,0,NA,Didn't Vote,2016
69,Male,Black,15,0.9285,Hillary Clinton,1,4,7,3,85,40,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
53,Female,Black,11,0.6947,Hillary Clinton,1,4,7,4,85,31,Democrat,1,85,31,1,Democrat,Winner,2016
37,Female,White,23,0.8674,Didn't Vote,NA,4,7,2,15,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016
68,Female,White,15,0.7259,Hillary Clinton,1,3,6,2,85,40,Democrat,0,85,40,1,Democrat,Winner,2016
61,Female,White,13,1.2775,Didn't Vote,NA,99,5,2,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
68,Male,White,26,0.6925,Hillary Clinton,1,5,6,3,40,30,Republican,0,30,40,1,Democrat,Voted in Other Party Primary,2016
