age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year
29,Male,White,13,0.827,Didn't Vote,NA,99,5,1,0,70,Republican,0,70,0,0,NA,Didn't Vote,2016
26,Male,White,17,1.0806,Didn't Vote,NA,5,6,2,15,85,Republican,0,85,15,0,NA,Didn't Vote,2016
23,Male,White,6,0.3878,Didn't Vote,NA,99,4,4,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016
58,Male,White,20,0.3596,Didn't Vote,NA,99,5,2,30,70,No Preference,0,NA,NA,0,NA,Didn't Vote,2016
38,Female,White,3,0.647,Didn't Vote,NA,4,6,2,70,40,Independent,1,NA,NA,0,NA,Didn't Vote,2016
60,Male,White,1,0.7062,Didn't Vote,NA,6,6,1,15,30,No Preference,1,NA,NA,0,NA,Didn't Vote,2016
58,Male,Black,22,3.9604,Hillary Clinton,1,99,-8,4,85,15,Democrat,0,85,15,1,Democrat,Winner,2016
56,Female,White,28,0.962,Donald Trump,1,5,7,1,0,40,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
45,Male,Other,12,0.9761,Didn't Vote,NA,4,6,1,15,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016
30,Female,White,19,0.6182,Didn't Vote,NA,3,5,5,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
40,Female,White,11,2.146,Didn't Vote,NA,99,4,-8,0,60,Independent,1,NA,NA,0,NA,Didn't Vote,2016
86,Female,White,14,0.5548,Didn't Vote,NA,2,7,2,85,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016
30,Male,Other,24,0.919,Didn't Vote,NA,4,5,1,40,70,Other,0,NA,NA,0,NA,Didn't Vote,2016
67,Male,White,14,1.166,Bernie Sanders,1,99,6,2,15,50,Democrat,0,15,50,1,Democrat,Loser,2016
62,Female,White,10,0.335,Hillary Clinton,1,2,7,3,85,30,Democrat,1,85,30,1,Democrat,Winner,2016
51,Male,White,3,1.05,Didn't Vote,NA,99,-8,-8,60,50,Democrat,1,60,50,0,NA,Didn't Vote,2016
46,Male,Other,27,0.8084,Hillary Clinton,1,2,7,3,70,15,Democrat,0,70,15,1,Democrat,Winner,2016
70,Male,White,16,0.2423,Didn't Vote,NA,6,6,2,30,70,Republican,0,70,30,0,NA,Didn't Vote,2016
30,Female,White,26,1.7603,Hillary Clinton,1,3,6,2,70,15,Democrat,0,70,15,1,Democrat,Winner,2016
67,Female,White,22,1.3938,Bernie Sanders,1,99,4,2,40,60,Republican,0,60,40,1,Democrat,Voted in Other Party Primary,2016
66,Female,White,20,0.8591,Ted Cruz,1,5,6,1,15,70,Republican,0,70,15,1,Republican,Loser,2016
32,Female,White,3,0.5387,Didn't Vote,NA,3,6,2,40,80,Republican,1,80,40,0,NA,Didn't Vote,2016
56,Female,White,NA,2.7749,John Kasich,1,99,6,3,50,15,No Preference,NA,NA,NA,1,Republcian,Voted in Other Party Primary,2016
65,Female,White,15,0.5215,Didn't Vote,NA,6,5,3,40,60,No Preference,0,NA,NA,0,NA,Didn't Vote,2016
61,Male,Other,13,1.0294,Didn't Vote,NA,7,4,1,15,40,Independent,0,NA,NA,0,NA,Didn't Vote,2016
34,Male,Other,9,0.8431,Didn't Vote,NA,99,-8,-8,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016
68,Other/Refused,White,NA,0.2153,Didn't Vote,NA,2,5,-8,50,60,Independent,NA,NA,NA,0,NA,Didn't Vote,2016
25,Female,White,17,0.9996,Didn't Vote,NA,99,4,4,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
73,Male,White,17,0.976,Hillary Clinton,1,2,6,3,85,15,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
67,Female,White,22,1.8963,Didn't Vote,NA,4,4,2,30,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
35,Female,White,22,0.9458,Didn't Vote,NA,2,7,2,70,70,Democrat,0,70,70,0,NA,Didn't Vote,2016
64,Male,White,24,0.3137,Didn't Vote,NA,6,2,1,0,15,Republican,0,15,0,0,NA,Didn't Vote,2016
73,Female,White,NA,0.9602,Donald Trump,1,6,6,1,0,85,Republican,NA,85,0,1,Republican,Winner,2016
69,Male,White,17,0.2302,Donald Trump,1,7,4,1,0,60,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
41,Female,White,11,0.5052,Didn't Vote,NA,4,6,1,40,50,Republican,1,50,40,0,NA,Didn't Vote,2016
67,Male,White,6,0.595,Didn't Vote,NA,2,6,2,60,40,Democrat,1,60,40,0,NA,Didn't Vote,2016
59,Female,White,7,1.2441,Didn't Vote,NA,99,5,3,60,30,Independent,1,NA,NA,0,NA,Didn't Vote,2016
54,Male,White,21,0.5705,Donald Trump,1,4,5,1,15,85,Republican,0,85,15,1,Republican,Winner,2016
48,Male,Other,5,0.9134,Didn't Vote,NA,4,4,4,60,85,Independent,1,NA,NA,0,NA,Didn't Vote,2016
26,Female,Black,21,2.0735,Didn't Vote,NA,2,7,2,85,30,Democrat,0,85,30,0,NA,Didn't Vote,2016
NA,Other/Refused,White,NA,1.1632,Donald Trump,1,6,5,2,40,80,Independent,NA,NA,NA,1,Republican,Voted in Other Party Primary,2016
25,Female,White,9,0.2349,Another Republican,1,5,6,2,15,70,Republican,1,70,15,1,Republican,Loser,2016
46,Female,Black,19,0.7569,Didn't Vote,NA,1,7,1,100,0,Democrat,0,100,0,0,NA,Didn't Vote,2016
59,Male,White,14,0.7611,Donald Trump,1,6,6,1,0,100,Republican,0,100,0,1,Republican,Winner,2016
39,Female,White,14,0.9391,Didn't Vote,NA,4,7,1,0,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016
52,Female,White,26,1.2799,Hillary Clinton,1,3,6,2,60,30,Democrat,0,60,30,1,Democrat,Winner,2016
29,Female,Other,13,0.2348,Didn't Vote,NA,6,5,6,60,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016
46,Male,White,17,0.51,Bernie Sanders,1,4,4,6,30,85,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
45,Male,Other,24,0.9644,Didn't Vote,NA,2,6,2,70,40,Democrat,0,70,40,0,NA,Didn't Vote,2016
64,Male,Black,1,1.0705,Hillary Clinton,1,99,-8,-8,85,60,Democrat,1,85,60,1,Democrat,Winner,2016
43,Female,White,1,1.2944,Didn't Vote,NA,4,4,4,85,15,Independent,1,NA,NA,0,NA,Didn't Vote,2016
61,Female,White,22,0.2921,Hillary Clinton,1,2,6,2,85,40,Democrat,0,85,40,1,Democrat,Winner,2016
30,Male,White,14,0.3374,Donald Trump,1,5,5,2,30,40,Republican,0,40,30,1,Republican,Winner,2016
55,Male,White,26,0.4777,Didn't Vote,NA,6,5,3,30,70,Republican,0,70,30,0,NA,Didn't Vote,2016
35,Female,White,27,0.6189,Didn't Vote,NA,2,7,2,70,15,Democrat,0,70,15,0,NA,Didn't Vote,2016
24,Female,White,14,1.6747,Bernie Sanders,1,3,7,1,70,60,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
85,Female,Other,6,0.4045,Didn't Vote,NA,99,-9,-9,NA,NA,Other,1,NA,NA,0,NA,Didn't Vote,2016
61,Male,Other,1,0.3406,Hillary Clinton,1,4,4,1,85,15,Democrat,1,85,15,1,Democrat,Winner,2016
52,Female,White,19,0.6149,Didn't Vote,NA,2,7,2,70,15,Democrat,0,70,15,0,NA,Didn't Vote,2016
56,Male,White,14,1.0145,Didn't Vote,NA,99,-8,-8,30,70,Independent,0,NA,NA,0,NA,Didn't Vote,2016
68,Male,Black,NA,0.4979,Bernie Sanders,1,2,6,3,85,30,Democrat,NA,85,30,1,Democrat,Loser,2016
76,Female,Black,7,1.263,Didn't Vote,NA,99,-8,5,85,40,Democrat,1,85,40,0,NA,Didn't Vote,2016
31,Male,White,17,0.6266,Didn't Vote,NA,4,4,4,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
19,Female,White,27,0.6756,Didn't Vote,NA,4,7,1,30,50,Republican,0,50,30,0,NA,Didn't Vote,2016
47,Female,White,3,1.7217,Didn't Vote,NA,99,1,4,40,40,Democrat,1,40,40,0,NA,Didn't Vote,2016
68,Female,White,5,0.7446,Didn't Vote,NA,4,6,3,70,40,Independent,1,NA,NA,0,NA,Didn't Vote,2016
57,Male,White,27,5.1289,Hillary Clinton,1,2,6,2,85,30,Democrat,0,85,30,1,Democrat,Winner,2016
27,Female,White,11,1.656,Didn't Vote,NA,5,4,4,40,40,Independent,1,NA,NA,0,NA,Didn't Vote,2016
32,Female,White,3,0.5162,Didn't Vote,NA,5,5,1,60,40,Independent,1,NA,NA,0,NA,Didn't Vote,2016
45,Male,White,13,0.374,Didn't Vote,NA,2,7,2,70,30,Democrat,0,70,30,0,NA,Didn't Vote,2016
50,Female,Other,8,0.4137,Didn't Vote,NA,99,1,4,60,50,Democrat,1,60,50,0,NA,Didn't Vote,2016
68,Female,Black,18,0.5057,Hillary Clinton,1,2,6,2,85,15,Democrat,0,85,15,1,Democrat,Winner,2016
60,Male,Other,20,1.4863,Hillary Clinton,1,-8,6,2,70,15,Democrat,0,70,15,1,Democrat,Winner,2016
36,Female,Other,3,0.2232,Bernie Sanders,1,2,7,3,70,40,Independent,1,NA,NA,1,Democrat,Voted in Other Party Primary,2016
27,Female,Other,4,1.0329,Didn't Vote,NA,99,6,4,85,30,Democrat,1,85,30,0,NA,Didn't Vote,2016
-8,Male,Other,12,0.5135,Didn't Vote,NA,4,5,3,50,85,Republican,0,85,50,0,NA,Didn't Vote,2016
46,Female,White,23,0.311,Another Republican,1,4,-9,-9,30,60,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
35,Male,White,15,0.5711,Bernie Sanders,1,3,6,2,30,15,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
44,Female,White,9,1.3222,Didn't Vote,NA,4,4,4,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016
78,Female,Black,4,1.0308,Bernie Sanders,1,99,7,4,100,0,Democrat,1,100,0,1,Democrat,Loser,2016
83,Male,White,15,0.6438,Donald Trump,1,6,6,2,30,60,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
65,Female,Other,1,0.2539,Didn't Vote,NA,4,3,3,75,75,NA,1,NA,NA,0,NA,NA,2016
55,Male,White,11,1.9046,Hillary Clinton,1,4,1,3,70,50,Democrat,1,70,50,1,Democrat,Winner,2016
69,Female,Other,12,0.3116,Hillary Clinton,1,99,7,4,85,0,Democrat,0,85,0,1,Democrat,Winner,2016
55,Male,Black,26,0.3921,Didn't Vote,NA,4,6,3,40,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016
31,Male,White,3,1.0153,Didn't Vote,NA,3,6,2,75,10,No Preference,1,NA,NA,0,NA,Didn't Vote,2016
68,Male,White,12,0.5961,John Kasich,1,2,6,2,60,30,Independent,0,NA,NA,1,Republcian,Voted in Other Party Primary,2016
42,Male,White,25,1.2481,Donald Trump,1,4,5,3,15,15,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
82,Female,White,15,0.8181,Donald Trump,1,6,6,1,50,100,Republican,0,100,50,1,Republican,Winner,2016
53,Female,White,24,0.3122,Another Republican,1,7,5,2,0,40,Republican,0,40,0,1,Republican,Loser,2016
65,Male,White,16,0.8017,Donald Trump,1,6,6,2,30,60,Republican,0,60,30,1,Republican,Winner,2016
42,Female,Black,1,1.5802,Didn't Vote,NA,2,7,1,85,0,Democrat,1,85,0,0,NA,Didn't Vote,2016
48,Male,Other,NA,0.3596,Didn't Vote,NA,4,4,4,70,60,Democrat,NA,70,60,0,NA,Didn't Vote,2016
30,Male,White,24,0.3686,Hillary Clinton,1,2,7,2,95,10,Democrat,0,95,10,1,Democrat,Winner,2016
23,Female,Other,15,1.149,Didn't Vote,NA,5,6,2,40,40,Independent,0,NA,NA,0,NA,Didn't Vote,2016
51,Male,White,22,0.9668,Didn't Vote,NA,5,3,5,50,60,Republican,0,60,50,0,NA,Didn't Vote,2016
31,Female,White,24,0.6728,Didn't Vote,NA,99,6,1,0,100,Republican,0,100,0,0,NA,Didn't Vote,2016
68,Male,Other,6,0.3265,Hillary Clinton,1,4,7,6,70,50,Democrat,1,70,50,1,Democrat,Winner,2016
66,Female,White,14,0.3111,Didn't Vote,NA,4,5,4,40,40,No Preference,0,NA,NA,0,NA,Didn't Vote,2016
29,Female,White,24,0.4792,Didn't Vote,NA,5,7,1,30,70,Republican,0,70,30,0,NA,Didn't Vote,2016
36,Female,White,26,0.567,Didn't Vote,NA,2,6,2,85,15,Democrat,0,85,15,0,NA,Didn't Vote,2016
47,Female,White,24,1.6613,Hillary Clinton,1,3,6,3,85,0,Democrat,0,85,0,1,Democrat,Winner,2016
61,Male,White,22,1.4018,Didn't Vote,NA,5,5,4,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
26,Female,White,12,2.1088,Didn't Vote,NA,2,7,2,85,30,Democrat,0,85,30,0,NA,Didn't Vote,2016
88,Male,White,NA,0.8667,Didn't Vote,NA,99,-8,1,15,50,Republican,NA,50,15,0,NA,Didn't Vote,2016
83,Female,Other,1,0.678,Bernie Sanders,1,1,2,2,70,50,Democrat,1,70,50,1,Democrat,Loser,2016
51,Male,White,27,1.1388,Didn't Vote,NA,3,6,2,40,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016
36,Male,White,17,0.9688,Hillary Clinton,1,5,6,2,70,70,Republican,0,70,70,1,Democrat,Voted in Other Party Primary,2016
68,Female,White,7,0.6544,Didn't Vote,NA,4,5,4,100,0,Independent,1,NA,NA,0,NA,Didn't Vote,2016
23,Male,Other,5,1.1231,Didn't Vote,NA,4,5,2,70,70,Independent,1,NA,NA,0,NA,Didn't Vote,2016
34,Female,White,15,1.0482,Didn't Vote,NA,99,-8,-8,40,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016
58,Female,White,25,1.3758,Donald Trump,1,4,7,1,15,85,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
69,Male,Other,14,0.8591,John Kasich,1,5,6,2,40,60,Independent,0,NA,NA,1,Republcian,Voted in Other Party Primary,2016
19,Male,Other,24,1.3784,Didn't Vote,NA,99,2,6,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
30,Male,Other,12,0.5574,Bernie Sanders,1,99,6,5,70,40,Democrat,0,70,40,1,Democrat,Loser,2016
75,Female,White,11,1.8809,Bernie Sanders,1,4,6,1,0,60,Other,1,NA,NA,1,Democrat,Voted in Other Party Primary,2016
50,Male,White,22,1.2423,Didn't Vote,NA,4,5,2,30,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016
54,Male,Other,17,0.4647,Bernie Sanders,1,99,2,4,85,50,Democrat,0,85,50,1,Democrat,Loser,2016
38,Female,White,13,1.0547,Didn't Vote,NA,99,-8,-8,100,0,Democrat,0,100,0,0,NA,Didn't Vote,2016
27,Female,White,14,1.4611,Didn't Vote,NA,4,2,4,40,60,Republican,0,60,40,0,NA,Didn't Vote,2016
69,Female,White,1,0.1465,Didn't Vote,NA,99,6,1,50,50,No Preference,1,NA,NA,0,NA,Didn't Vote,2016
43,Female,Other,22,1.0142,Didn't Vote,NA,5,6,2,2,85,Republican,0,85,2,0,NA,Didn't Vote,2016
33,Female,Other,17,0.9433,Didn't Vote,NA,4,7,1,15,40,Independent,0,NA,NA,0,NA,Didn't Vote,2016
87,Female,White,NA,0.514,John Kasich,1,4,6,1,50,50,No Preference,NA,NA,NA,1,Republcian,Voted in Other Party Primary,2016
26,Male,White,13,0.5134,Didn't Vote,NA,6,5,2,0,70,Republican,0,70,0,0,NA,Didn't Vote,2016
34,Female,Other,11,0.3035,Didn't Vote,NA,3,6,2,60,60,Republican,1,60,60,0,NA,Didn't Vote,2016
33,Female,White,24,0.6075,Didn't Vote,NA,2,6,4,60,30,Independent,0,NA,NA,0,NA,Didn't Vote,2016
57,Male,White,1,0.6912,Another Republican,1,6,5,2,40,60,Republican,1,60,40,1,Republican,Loser,2016
27,Male,White,23,0.616,Didn't Vote,NA,4,6,2,50,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016
38,Female,Other,20,1.3328,Marco Rubio,1,5,6,3,30,70,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
81,Male,White,1,1.2962,Didn't Vote,NA,99,4,3,100,NA,Democrat,1,100,NA,0,NA,Didn't Vote,2016
51,Female,White,1,1.5339,Didn't Vote,NA,4,7,2,40,15,Independent,1,NA,NA,0,NA,Didn't Vote,2016
75,Female,White,11,0.4226,John Kasich,1,4,5,1,70,70,Independent,1,NA,NA,1,Republcian,Voted in Other Party Primary,2016
74,Female,White,13,0.3177,Donald Trump,1,4,6,1,0,100,Republican,0,100,0,1,Republican,Winner,2016
43,Male,White,25,1.7145,Bernie Sanders,1,4,6,5,60,40,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
58,Male,White,25,0.8623,Didn't Vote,NA,4,6,3,60,50,Democrat,0,60,50,0,NA,Didn't Vote,2016
36,Female,White,3,1.1472,Didn't Vote,NA,1,6,3,65,35,Independent,1,NA,NA,0,NA,Didn't Vote,2016
23,Female,White,7,1.8974,Didn't Vote,NA,99,6,2,40,60,Republican,1,60,40,0,NA,Didn't Vote,2016
88,Female,White,3,0.402,Didn't Vote,NA,7,6,1,40,85,Republican,1,85,40,0,NA,Didn't Vote,2016
57,Female,White,18,0.8827,Didn't Vote,NA,5,6,2,30,70,Independent,0,NA,NA,0,NA,Didn't Vote,2016
59,Female,White,16,0.7617,Bernie Sanders,1,2,6,3,85,0,Democrat,0,85,0,1,Democrat,Loser,2016
86,Female,White,5,0.2953,Donald Trump,1,6,6,2,50,60,Republican,1,60,50,1,Republican,Winner,2016
57,Male,Other,NA,0.4007,Didn't Vote,NA,1,5,2,90,20,Democrat,NA,90,20,0,NA,Didn't Vote,2016
84,Female,White,5,0.2131,Didn't Vote,NA,99,-8,-8,50,50,No Preference,1,NA,NA,0,NA,Didn't Vote,2016
60,Male,Other,5,0.3801,Didn't Vote,NA,5,2,6,70,30,Democrat,1,70,30,0,NA,Didn't Vote,2016
45,Male,White,15,0.8262,Bernie Sanders,1,2,6,3,60,15,Democrat,0,60,15,1,Democrat,Loser,2016
30,Male,White,11,0.5893,Didn't Vote,NA,4,4,4,50,60,Republican,1,60,50,0,NA,Didn't Vote,2016
78,Male,White,1,1.2959,Didn't Vote,NA,6,4,1,15,40,Independent,1,NA,NA,0,NA,Didn't Vote,2016
72,Female,Black,14,0.3903,Hillary Clinton,1,5,3,4,85,30,Democrat,0,85,30,1,Democrat,Winner,2016
36,Male,White,21,0.6618,Bernie Sanders,1,3,6,2,85,0,Independent,0,NA,NA,1,Democrat,Voted in Other Party Primary,2016
86,Male,White,2,1.2448,Hillary Clinton,1,5,4,6,100,50,Democrat,1,100,50,1,Democrat,Winner,2016
55,Other/Refused,White,26,0.772,Hillary Clinton,1,2,7,2,85,15,Democrat,0,85,15,1,Democrat,Winner,2016
50,Female,White,22,0.3153,Ted Cruz,1,99,-8,-8,40,60,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
68,Male,Black,12,0.5875,Hillary Clinton,1,2,6,2,70,15,Democrat,0,70,15,1,Democrat,Winner,2016
69,Male,White,12,0.8209,Hillary Clinton,1,2,6,3,70,15,Democrat,0,70,15,1,Democrat,Winner,2016
62,Female,White,20,0.3642,Donald Trump,1,4,7,1,30,40,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
42,Male,White,10,1.3601,Didn't Vote,NA,4,6,3,60,60,Independent,1,NA,NA,0,NA,Didn't Vote,2016
42,Female,Other,15,0.4354,Donald Trump,1,4,7,2,70,15,Democrat,0,70,15,1,Republican,Voted in Other Party Primary,2016
25,Male,White,NA,0.9144,Didn't Vote,NA,4,4,2,40,40,Independent,NA,NA,NA,0,NA,Didn't Vote,2016
55,Male,Other,19,0.7284,Didn't Vote,NA,6,3,1,0,15,Independent,0,NA,NA,0,NA,Didn't Vote,2016
76,Female,White,20,0.9745,Hillary Clinton,1,2,6,2,70,50,Democrat,0,70,50,1,Democrat,Winner,2016
31,Female,White,8,1.0004,Bernie Sanders,1,1,6,2,90,0,Democrat,1,90,0,1,Democrat,Loser,2016
52,Male,White,7,2.9775,Donald Trump,1,99,4,5,0,70,Democrat,1,0,70,1,Republican,Voted in Other Party Primary,2016
35,Male,Other,19,1.0187,Didn't Vote,NA,2,6,4,40,40,Independent,0,NA,NA,0,NA,Didn't Vote,2016
25,Male,Black,17,1.4518,Didn't Vote,NA,6,4,4,70,50,Democrat,0,70,50,0,NA,Didn't Vote,2016
34,Female,Other,22,0.941,Ted Cruz,1,6,7,2,40,60,Republican,0,60,40,1,Republican,Loser,2016
38,Female,White,7,0.2467,Didn't Vote,NA,99,4,6,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016
73,Other/Refused,White,NA,0.3085,Marco Rubio,1,5,5,2,30,50,Independent,NA,NA,NA,1,Republican,Voted in Other Party Primary,2016
52,Female,White,21,0.4564,Didn't Vote,NA,4,3,5,60,40,Democrat,0,60,40,0,NA,Didn't Vote,2016
66,Female,White,23,0.5541,Didn't Vote,NA,4,7,1,0,85,Republican,0,85,0,0,NA,Didn't Vote,2016
65,Female,White,9,1.8286,Didn't Vote,NA,4,3,5,70,0,Democrat,1,70,0,0,NA,Didn't Vote,2016
45,Female,White,25,0.2612,Didn't Vote,NA,5,6,2,15,60,Republican,0,60,15,0,NA,Didn't Vote,2016
59,Male,White,12,0.7246,Didn't Vote,NA,99,6,2,0,70,Republican,0,70,0,0,NA,Didn't Vote,2016
25,Male,Other,3,0.5224,Didn't Vote,NA,99,2,6,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016
37,Female,White,28,1.3948,Hillary Clinton,1,2,6,2,70,15,Democrat,0,70,15,1,Democrat,Winner,2016
66,Female,White,14,0.4217,Didn't Vote,NA,99,2,7,85,0,Democrat,0,85,0,0,NA,Didn't Vote,2016
74,Male,White,13,0.2217,Donald Trump,1,6,5,2,50,70,Republican,0,70,50,1,Republican,Winner,2016
28,Male,Other,17,0.2899,Didn't Vote,NA,4,5,2,85,50,No Preference,0,NA,NA,0,NA,Didn't Vote,2016
57,Female,Black,2,0.5098,Hillary Clinton,1,4,4,7,100,70,Democrat,1,100,70,1,Democrat,Winner,2016
27,Male,White,21,0.7683,Didn't Vote,NA,99,4,3,70,70,No Preference,0,NA,NA,0,NA,Didn't Vote,2016
24,Male,White,16,0.6244,Didn't Vote,NA,3,6,2,60,50,Democrat,0,60,50,0,NA,Didn't Vote,2016
23,Male,White,11,1.2391,Didn't Vote,NA,99,4,4,50,50,NA,1,NA,NA,0,NA,NA,2016
43,Male,White,22,0.617,Didn't Vote,NA,3,5,3,40,40,Independent,0,NA,NA,0,NA,Didn't Vote,2016
58,Female,White,27,1.1123,Didn't Vote,NA,4,6,2,15,40,Independent,0,NA,NA,0,NA,Didn't Vote,2016
42,Female,Black,13,1.607,Didn't Vote,NA,99,1,7,85,60,Democrat,0,85,60,0,NA,Didn't Vote,2016
57,Female,Other,9,0.324,Didn't Vote,NA,4,4,4,100,0,Democrat,1,100,0,0,NA,Didn't Vote,2016
30,Female,Other,5,2.3718,Didn't Vote,NA,5,6,3,85,60,No Preference,1,NA,NA,0,NA,Didn't Vote,2016
69,Male,Black,1,0.3376,Didn't Vote,NA,99,5,1,85,40,Democrat,1,85,40,0,NA,Didn't Vote,2016
87,Female,White,1,4.1611,Didn't Vote,NA,4,3,4,30,100,Republican,1,100,30,0,NA,Didn't Vote,2016
56,Male,White,18,3.7237,Ted Cruz,1,6,6,1,30,60,Republican,0,60,30,1,Republican,Loser,2016
18,Male,Other,1,0.8654,Bernie Sanders,1,99,3,3,0,100,Republican,1,100,0,1,Democrat,Voted in Other Party Primary,2016
23,Male,White,3,1.523,Didn't Vote,NA,6,6,2,15,49,Republican,1,49,15,0,NA,Didn't Vote,2016
71,Male,Other,18,0.161,Ted Cruz,1,6,5,2,0,30,Republican,0,30,0,1,Republican,Loser,2016
19,Female,White,11,0.7466,Bernie Sanders,1,2,6,3,70,15,Democrat,1,70,15,1,Democrat,Loser,2016
44,Male,White,14,0.798,Didn't Vote,NA,4,5,6,70,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016
21,Female,White,3,2.1258,Didn't Vote,NA,4,-8,5,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016
67,Male,White,7,0.2037,Didn't Vote,NA,99,5,3,40,15,Independent,1,NA,NA,0,NA,Didn't Vote,2016
23,Female,Other,8,1.5096,Didn't Vote,NA,3,4,2,40,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016
41,Female,Other,23,1.1154,Didn't Vote,NA,3,6,3,85,30,Democrat,0,85,30,0,NA,Didn't Vote,2016
49,Male,White,25,1.9632,Donald Trump,1,99,6,2,70,70,Republican,0,70,70,1,Republican,Winner,2016
78,Female,White,7,0.1756,Ted Cruz,1,7,6,1,0,75,Republican,1,75,0,1,Republican,Loser,2016
74,Female,Other,26,0.6528,Didn't Vote,NA,6,6,1,0,100,Republican,0,100,0,0,NA,Didn't Vote,2016
40,Female,White,22,0.2334,Didn't Vote,NA,4,6,7,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2016
53,Male,White,27,1.1378,Donald Trump,1,6,4,2,40,30,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
63,Male,White,21,0.7813,Didn't Vote,NA,7,6,1,15,60,Republican,0,60,15,0,NA,Didn't Vote,2016
65,Female,White,25,1.2844,Ted Cruz,1,6,5,1,30,60,Republican,0,60,30,1,Republican,Loser,2016
64,Female,White,15,0.4886,Donald Trump,1,4,5,3,40,60,Republican,0,60,40,1,Republican,Winner,2016
24,Male,White,26,1.9267,Marco Rubio,1,6,6,2,50,30,Republican,0,30,50,1,Republican,Loser,2016
50,Male,Black,9,1.1931,Didn't Vote,NA,4,6,4,70,50,Independent,1,NA,NA,0,NA,Didn't Vote,2016
23,Female,Black,22,1.4618,Didn't Vote,NA,5,5,3,70,70,Other,0,NA,NA,0,NA,Didn't Vote,2016
25,Male,White,11,0.2982,Didn't Vote,NA,2,7,2,100,0,Democrat,1,100,0,0,NA,Didn't Vote,2016
44,Female,White,17,1.3032,Marco Rubio,1,5,6,2,15,40,Independent,0,NA,NA,1,Republican,Voted in Other Party Primary,2016
76,Female,White,16,0.3132,Didn't Vote,NA,1,7,2,100,0,Democrat,0,100,0,0,NA,Didn't Vote,2016
68,Male,White,25,0.6602,Didn't Vote,NA,5,7,1,15,60,Independent,0,NA,NA,0,NA,Didn't Vote,2016
21,Female,White,2,2.4453,Didn't Vote,NA,4,5,6,60,70,Independent,1,NA,NA,0,NA,Didn't Vote,2016
67,Female,White,9,0.1978,Didn't Vote,NA,6,3,3,60,60,Democrat,1,60,60,0,NA,Didn't Vote,2016
68,Female,White,20,2.6148,Ted Cruz,1,6,6,2,15,85,Republican,0,85,15,1,Republican,Loser,2016
35,Female,Other,21,1.0282,Hillary Clinton,1,1,7,2,85,0,Democrat,0,85,0,1,Democrat,Winner,2016
61,Male,White,22,1.0236,Donald Trump,1,5,6,2,30,70,Republican,0,70,30,1,Republican,Winner,2016
25,Male,White,9,0.3852,Bernie Sanders,1,2,7,4,60,15,Democrat,1,60,15,1,Democrat,Loser,2016
67,Male,White,14,0.9124,Donald Trump,1,3,6,2,15,15,Democrat,0,15,15,1,Republican,Voted in Other Party Primary,2016
69,Male,White,1,0.6434,Didn't Vote,NA,6,6,3,30,70,Republican,1,70,30,0,NA,Didn't Vote,2016
