"cint","ckey","cdate","ctime","cac","cst","ca01","ca02","ca03","ca04","ca05","ca06","ca07","ca08","ca09","ca10","ca10$","ca11","ca12","ca13","ca14","ca15","ca16","ca17","ca18","ca19","ca20","ca20$","ca21","ca22","ca23","ca24","ca25","ca26","ca27","ca28","ca29","ca29$","ca30","ca31","ca32","ca33","ca34","ca35","ca36","ca37","ca38","ca38$","ca39","ca40","ca41","ca42","ca43","ca44","ca45","ca46","ca46$","ca47","ca48","ca49","ca50","ca51","ca52","ca53","ca54","ca55","ca56","ca57","caz01","cb01","cb01$","cba01","cba02","cba03","cba04","cba05","cba06","cba07","cba08","cba09","cba10","cba11","cba12","cbb01","cbb02","cbb03","cbb04","cbb05","cbb06","cbb07","cbb08","cbb09","cbb10","cbb11","cbb12","cbb13","cbb14.1","cbb14.2","cbb14.3","cbb15.1","cbb15.2","cbb15.3","cbb16","cbb17","cbb18","cbb19","cbc01","cbc02","cbc03","cbc04","cbc05","cbc06","cbc07","cbc08","cbc09","cbc10.1","cbc10.2","cbc10.3","cbd01","cbd02","cbd03.1","cbd03.2","cbd03.3","cbd04","cbd05","cbd06","cbd07","cbd08","cbd09","cbd10","cbd11","cbe01","cbe02","cbe03","cbe04","cbe05","cbe06","cbe07","cbe08","cbe09","cbe10","cbe11","cbe12.1","cbe12.2","cbe12.3","cbe13","cbe14","cbe15","cbe16.1","cbe16.2","cbe16.3","cbe17","cbe18","cbe19","cbe20","cbe21","cbe22","cbf01","cbf02","cbf03","cbf04.1","cbf04.2","cbf04.3","cbf05.1","cbf05.2","cbf05.3","cbf06.1","cbf06.2","cbf06.3","cbf07.1","cbf07.2","cbf07.3","cbf08","cbf09","cbf10","cbf11","cbf12","cbf13","cbf14","cbg01","cbg02","cbg03","cbg04","cbg05","cbg06","cbg07.1","cbg07.2","cbg07.3","cbg08","cbg09","cbg10","cbg11","cbg12","cbg13","cbh01","cbh02","cbh03.1","cbh03.2","cbh03.3","cbh04","cbh05","cbh06","cbh07","cbh08","cbh09","cbj01","cbj02","cbj03","cbj04.1","cbj04.2","cbj04.3","cbj05.1","cbj05.2","cbj05.3","cbj06","cbj07","cbj08","cbj09","cbj10.1","cbj10.2","cbj10.3","cbk01","cbk02","cbl01","cbl02","cbl03","cbl04","cbl05","cbl06.1","cbl06.2","cbl06.3","cbm01","cbm02","cbn01","cbn02","cbn03","cbp01","cbp02","cbp03","cbq01","cbq02","cbq03","cbq04","cbq05","cbq06","cbr01","cbr02.1","cbr02.2","cbr02.3","cbr03.1","cbr03.2","cbr03.3","cbs01","cbt01","cbt02","cbt03","cbt04.1","cbt04.2","cbt04.3","cbz01","cbz02","cbz03","cbz04","cbz05","cbz06","cbz07","cc01","cc02","cc03","cc04","cc05","cc06","cc07","cc08","cc09","cc10","cc11","cc12","cd01.1","cd01.2","cd01.3","cd02.1","cd02.2","cd02.3","cd03.1","cd03.2","cd03.3","cd04.1","cd04.2","cd04.3","cd05.1","cd05.2","cd05.3","cd06","cd07","cd08","cd09","cd10","cd11","cd12","cd13","cd14","cd15","cd16","cd17","ce01","ce02","ce03","ce04","ce05","ce06","ce07","ce08","ce09","ce10","ce11","ce12","ce13","ce14","ce14$","ce15","ce16","ce17","ce18","ce19.1","ce19.2","ce19.3","ce19.4","ce19.5","ce19$","ce20","ce21","ce22","ce23","ce24","cf01","cf02","cf03","cf04","cf05","cf06","cf07","cf08","cf09","cf10","cf11","cf12","cf13","cf14","cf15","cf16","cf17","cf18","cf19","cf20","cf21","cf22","cf23","cf24","cf25","cf26","cf27","cf28","cf29","cf30","cf31","cf32","cf33","cf34","cf35","cf36","cf37","cf38","cf39","cf40","cf41","cf42","cf43","cf44","cf45","cf46","cf47","cf48","cf49","cf50","cf51","cf52","cf53","cf54","cf55","cf56","cf57","cf58","cf59","cfz01","cg01","cg02","cg03","cg04","cg05","cg06","cg07","cg08","cg09","cg10","cg11","cg12","cg13","cg14","cg15","cg16","cg17","cg18","cg19","cg20","cg21","cg22","ch01","ch02","ch03","ch04","ch05","ch06","ch07","ch08","ch09","ch09$","ch10","ch11","ch12","ch12$","ch13","ch14","ch15","ch16","ch17","ch18","ch19","cj01","cj02","cj03","cj04","cj05","cj06","cj07","cj08","cj09","cj10","cj11","cj12","cj13.1","cj13.2","cj13.3","cj13.4","cj13.5","cj14.1","cj14.2","cj14.3","cj14.4","cj14.5","cj15.1","cj15.2","cj15.3","cj15.4","cj15.5","cj16.1","cj16.2","cj16.3","cj16.4","cj16.5","ck01","ck02","ck03","ck04","ck05","ck06","ck07","ck08","ck09","ck10","ck11","ck12","ck13","ck14","ck15","ck16","ck17","ck18","ck19","ck20","ck21","ck22","ck23","ck24","ck25","ck26","ck27","ckz01","ckz02","cl01","cl02","cl03","cl04","cl05","cl06","cl07","cl08","cl09","cl10","cm01","cm02","cm03","cm04","cm05","cm06","cm07","cm08","cm09","cm10","cm11","cm12","cm13","cm14","cm15","cm16","cm17","cm18","cm19","cm20","cm21","cn01","cn02","cn03","cn04","cn05","cn06","cn07","cn08","cn09","cn10","cn11","cn12","cn13","cnz01","cnz02","cnz03","cnz04","cnz05","cp01","cp02","cp03","cp04","cp05","cp06","cp07","cp08","cp09","cp10.1","cp10.2","cp11","cp12","cp13","cp14","cp15","cp16","cp17","cp18","cp19","cp20","cp21","cp22","cr01","cr02","cr03","cr04","cr05","cr06","cr07","cr08","cr09","cr10","cr11","cr12","cr13","cr14","cr15","cr16","cr17","cr18","cr19","cr20","cr21","cr21$","cr22","cr23","cr24","cr25","cr26","cr27","cr28","cr29","cr30","cr31","cr32","cr33","cr34","cr35","cr36","cr37","cr38","cr38$","cr39","cr40","cr41","cr42","cr43","cr44","cr45","cr46","cr47","cr48","cr49","cr50","cr51","cr52","cr53","cr54","cr55","crz01","crz02","crz03","crz04","crz05","crz06","crz07","cs01","cs02","cs03","cs04","cs05","cs06","cs07","cs08","cs09","cs10","cs11","cs12","cs13","cs14","cs15","cs16","cs17","cs18","cs19","cs20","cs21","cs22","cs23","cs24","cs25","cs26","cs27","cs28","cs29","cs30","cs31","cs32","cs33","cs34","cs35","cs36","cs37","cs38","cs39","cs40","cs41","cs42","cs43","cs44","cs45","cs46","cs47","cs48","cs49","cs50","cs51","cs52","cs53","cs54","cs55","cs56","cs57","cs58","cs59","cs60","cs61","cs62","cs63","cs64","cs65","cs66","cs66$","cs67","cs68","cs69","cs70","cs71","cs72","cs73","cs74","cs75","cs76","cs77","cs78","cs79","cs80","cs81","cs82","cs83","cs84","ct01","ct02","ct03","ct04","ct05","ct06","ct07","ct08","ct09","ct10","ct11","ct12","ct13","cu01","cu02","cu03","cu04","cu05","cu06","cu07","cu08","cu08$","cu09","cu09$","cu10","cu11","cu12","cu13","cu14","cu14$","cu15","cu15$","cu16","cu17","cu18","cu19","cu20","cu21","cu22.1","cu22.2","cu22$","cu23","cu23$","cu24","cu25","cu26","cu27","cu27$","cu28","cu29","cv01","cv01$","cv02","cv03","cv04","cvz01","cw01","cw02","cw03","cw03$","cw04","cw05","cw05$","cw06","cw07","cw08","cw09","cw10","cw11","cw11$","cw12","cw13","cw14","cw15","cw16","cw16$","cw17","cw18","cw19","cw20","cw21","cw22","cw23","cw24","cw25","cw26","cw27","cw28","cw29","cw30","cw31","cw32","cw33","cw33$","cx01","cx02","cx03","cx04","cx05","cx06","cy01","cy02","cy03","cy04","cy05","cy06","rint","rkey","rdate","rtime","rst","ra01","ra02","ra03","ra04","ra05","ra06","ra07","ra08","ra09","ra10","ra10$","ra11","ra12","ra13","ra14","ra15","ra16","ra17","ra18","ra19","ra20","ra20$","ra21","ra22","ra23","ra24","ra25","ra26","ra27","ra28","ra29","ra29$","ra30","ra31","ra32","ra33","ra34","ra35","ra36","ra38","ra38$","ra39","ra45","ra47","ra48","ra49","ra50","ra52","ra55","ra58","ra59","ra60","ra61","ra62","raz01","rb01","rb01$","rba01","rba02","rba03","rba04","rba07","rba08","rba09","rbb01","rbb02","rbb03","rbb05","rbb06","rbb07","rbb08","rbb09","rbb10","rbb11","rbb12","rbb13","rbb14.1","rbb14.2","rbb14.3","rbb15.1","rbb15.2","rbb15.3","rbb17","rbb18","rbb19","rbb20","rbb21","rbb22","rbb23","rbc01","rbc02","rbc03","rbc04","rbc05","rbc06","rbc07","rbc08","rbc09","rbd01","rbd02","rbd04","rbd05","rbd06","rbd07","rbd09","rbd11","rbe01","rbe02","rbe04","rbe05","rbe06","rbe07","rbe08","rbe09","rbe10","rbe11","rbe13","rbe14","rbe15","rbe18","rbe19","rbe20","rbe21","rbe22","rbf01","rbf02","rbf03","rbf04.1","rbf04.2","rbf04.3","rbf05.1","rbf05.2","rbf05.3","rbf06.1","rbf06.2","rbf06.3","rbf09","rbf10","rbf11","rbf13","rbf14","rbf15","rbf16","rbg01","rbg02","rbg03","rbg04","rbg05","rbg06","rbg07.1","rbg07.2","rbg07.3","rbg08","rbg09","rbg10","rbg11","rbg12","rbg13","rbh01","rbh02","rbh03.1","rbh03.2","rbh03.3","rbh04","rbh05","rbh06","rbh07","rbh09","rbh10","rbh11","rbh12","rbh13","rbh14","rbj01","rbj02","rbj03","rbj07","rbj08","rbj09","rbk01","rbl01","rbl02","rbl03","rbl04","rbl05","rbm01","rbm02","rbn01","rbn02","rbn03","rbp01","rbp02","rbp03","rbq01","rbq02","rbq03","rbq04","rbq05","rbq06","rbr01","rbr02.1","rbr02.2","rbr02.3","rbr03.1","rbr03.2","rbr03.3","rbs01","rbs02","rbs03","rbs04","rbt01","rbt02","rbt03","rbt04.1","rbt04.2","rbt04.3","rbt05","rbt06","rbz01","rbz02","rbz03","rbz04","rbz05","rbz06","rbz07","rc01","rc02","rc03","rc04","rc05","rc06","rc07","rc10","rc11","rc12","rd01.1","rd01.2","rd01.3","rd02.1","rd02.2","rd02.3","rd03.1","rd03.2","rd03.3","rd04.1","rd04.2","rd04.3","rd05.1","rd05.2","rd05.3","rd06","rd07","rd08","rd09","rd10","rd11","rd12","rd13","rd14","rd15","rd16","rd17","re01","re02","re03","re03a","re03b","re03c","re03d","re03e","re03f","re06","re07","re07a","re07b","re07c","re10","re13","re14","re14$","re15","re15a","re15b","re15c","re18","re18a","re18b","re18c","re19.1","re19.2","re19.3","re19.4","re19.5","re19$","re19a1","re19a2","re19a3","re19a4","re19a5","re19a$","re19b1","re19b2","re19b3","re19b4","re19b5","re19b$","re19c1","re19c2","re19c3","re19c4","re19c5","re19c$","re20","re21","re21a","re21b","re21c","re25","rf01","rf02a","rf02b","rf35","rf36","rf37","rf38","rf39","rf40","rf41","rf42","rf43","rf44","rf45","rf46","rf47","rf48","rf49","rf50","rf51","rf52","rf53","rf54","rf55","rf56","rf57","rf58","rf59","rfz01","rg01","rg06","rg07","rg08","rg09","rg10","rg12","rg17","rg18","rg19","rg20","rg21","rh08","rh09","rh09$","rh10","rh11","rh12","rh12$","rh13","rh20","rh21","rh21$","rh22","rh22$","rh23","rj01","rj01a","rj02a","rj03","rj04","rj05","rj05a","rj06a","rj07","rj08","rj09","rj09a","rj10a","rj11","rj12","rj13a1","rj13a2","rj13a3","rj13a4","rj13a5","rj14a1","rj14a2","rj14a3","rj14a4","rj14a5","rj15a1","rj15a2","rj15a3","rj15a4","rj15a5","rj16a1","rj16a2","rj16a3","rj16a4","rj16a5","rj17","rj18","rj19","rj20","rk01","rk02","rk03","rk04","rk05","rk05a","rk05b","rk06","rk07","rk07a","rk07b","rk08","rk09","rk09a","rk09b","rk10","rk11","rk11a","rk11b","rk12","rk13","rk13a","rk14a","rk15","rk16","rk16a","rk17a","rk18","rk19","rk19a","rk20a","rk21","rk22","rk22a","rk23a","rk24","rk25","rk25a","rk26a","rk27","rkz01","rl01","rl01a","rl02","rl03","rl03a","rl04","rl04a","rl05a","rl07","rl09a","rl10","rl10a","rl11","rl12","rm01","rm08","rm09","rm10","rm11","rm13","rm15","rm16","rm17","rm21","rn01","rn02","rn04","rn05","rn06","rn07","rn08","rn09","rn10","rn11","rn12","rn13","rnz01","rnz02","rnz03","rnz04","rnz05","rp01","rp02","rp03","rp04","rp05","rp06","rp07","rp08","rp09","rp10.1","rp10.2","rp11","rp12a","rp13","rp14","rp15","rp16","rp17","rp18","rp19","rp20","rp21a","rp22","rp23","rp24","rp25","rp26","rp27","rp28","rp29","rp30.1","rp30.2","rp31.1","rp31.2","rp32.1","rp32.2","rr01","rr02","rr02a","rr02b","rr03","rr04","rr05","rr15","rr15a","rr16","rr17","rr18","rr19","rr19a","rr20","rr20a","rr21","rr21$","rr21a","rr21a$","rr22","rr22a","rr23","rr24","rr25","rr26","rr27","rr28","rr29","rr30","rr31","rr32","rr33","rr34","rr35","rr36","rr37","rr38","rr38$","rr39","rr40","rr41","rr42","rr43","rr44","rr45","rr46","rr47","rr48","rr49","rr50","rr51","rr56","rr56$","rrz01","rrz02","rrz03","rrz04","rrz05","rrz06","rrz07","rs65","rs70","rs71","rs72","ru01","ru02","ru03","ru04","ru05","ru06","ru07","ru09","ru09$","ru10","ru12","ru13","ru14","ru14$","ru15","ru15$","ru16","ru17","ru18","ru19","ru20","ru21","ru23","ru23$","ru24","ru25","ru26","ru27","ru27$","ru28","ru29","rv01","rv01$","rv02","rv03","rv04","rw34","rw35","rw36","rx02","rx03","rx04","rx05","rx06","ry02","ry03","ry04","ry05","ry06"
101,10110355412,20000922,2352,,"WA",45,2,2,3,2,,4,4,4,,"",10,3,4,4,3,,4,4,3,,"",40,,,,,,,,,"",30,,,,,,,,,"",,,,,,,60,,"",80,30,20,,,1,,,50,,,2,1,"government beurocracy",3,3,2,2,,,2,998,3,,,,1,,2,,998,,1,,1,2,1,,1,,,,,,,,,998,,1,,2,1,1,,1,2,,,,,,2,,,,,,,,,1,,1,1,3,,1,3,998,2,2,2,1,,,,,998,1,1,,,,,998,998,,2,,,2,2,,,,,,,,,,,,,,1,998,,,,,,,,,2,3,,,,998,998,,998,2,1,1,,,,,,,,3,,,,1,3,,,,,,,,2,2,,,,,4,,,,,,3,,,,3,2,,,,3,2,2,,,,,,,,,,,,,,3,3,3,2,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,998,3,3,998,998,,1,0,0,,,,4,4,,,,,1,7,32,"spokesman review",4,,,0,,,,,,"",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,"",,,,"",,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,2,0,,,,0,,,,,,,,,,,,,,,,,,,1,,2,,1,2,,2,4,3,,1,4,,,,,,,,,4,,,,,1,2,3,,,,,,,,,,50,,,,,,,,,1,,,,,,,,,,,,,,,,,998,,,2,998,998,1,,,,2,1,1,,,,,,,,,,,,1,998,,,,,,"",,1,,,,1,,2,1,,,,,,,,,"",,,,1,,,,,,,,998,2,,,,,1,2,,,,4321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,"",998,"",,,,,998,"",,"",,1,1,,,,,,"",998,"",,,,998,"",,,4,"no party voting",,3,2,,1,52,1,"",2,,"",3,1,1,1,,7,"",1,5,2,,1,"",2,24,1,2,9,,,3,,2,0,5,2,2,1,,,"",,,2,1,1,,1,1071,2,1,2,2,701,10110355412,20001005,2245,"WA",75,3,2,2,2,,,1,4,,"",20,4,4,4,2,,,4,3,,"",,,,,,,,,,"",,,,,,,,,"",,40,70,60,60,,1,,,,,,,2,1,"honesty and politicians",2,2,3,2,,,3,2,,998,2,1,1,2,1,,1,,,,,,,,,,998,,,,,,1,,1,,1,,998,998,,,2,,,,,,,,2,,3,998,998,2,998,998,,2,1,,998,998,,,,,998,,,,,,,,,,,998,998,,2,998,,,,,,,2,3,,,,998,998,,998,1,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,2,3,,1,998,998,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,2,,998,,998,6,0,3,,,,,,,6,3,,,,0,7,32,"spokesman review",3,,,,0,,,,,,,,,"",,,,,,"",,,,,,"",,,,,,"",1,0,,,,,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,2,2,,,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,1,,,2,,1,,,,3,,,4,,,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,2,2,998,998,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,"",,"",,,999,,,,999,1,2,1,,2,,2,,,,,"",,,,,,,,,,,,,,,"",1,1,,,,3421,,,,,,,2,,,,,,,"",,,,,"",,"",,,,,,,,"",,,,,"",,,4,"don't vote for party",,3,3,,,,,2,,1,2,900,2,1,1,4
101,10110377669,20000922,2313,,"CA",12,4,4,4,2,,4,2,2,,"",85,1,2,3,1,,1,2,4,,"",65,,,,,,,,,"",65,,,,,,,,,"",,,,,,,5,,"",85,60,82,,,70,,,102,,,2,998,"",1,1,1,3,,,2,1,2,,,,4,,1,,2,,2,,2,,998,,,,,,,,,,,2,,2,,998,2,1,,998,1,,,,,,2,,,,,,,,,,,2,,1,,,2,3,2,1,1,1,,,,,2,2,,,,,,998,998,,,,,2,,,,,,,,,,,,,,,1,2,,,,,,,,,1,1,,,,2,1,,1,2,,1,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,2,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,998,2,,1,2,0,1,,,5,1,,,,,1,7,32,"sacremento bee",2,,,3,998,,,,,"",1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,"",,,,"",,2,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,,5,,0,,,,1,,,2,,,2,,,2,,,2,,,2,,1,,2,2,,2,1,2,,1,2,,,,,,,,,3,,,,,4,4,4,,,,,,,,,,,55,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,2,2,1,1,,,,2,1,1,,,,,,,,,,,,1,2,,2,,,,"",,2,,,,2,2,,1,,,,,,,,,"",,,,4,,,,,,,,1,3,,,,,2,1,,,,3142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,,"",998,"",,,,,998,"",,"",,1,2,,,,,,"",1,"boxer",,,,998,"",,,2,"",2,,4,,1,33,1,"",2,,"",9,1,1,1,,1,"",1,5,1,,4,"",2,5,1,2,9,,,2,,2,2,6,2,2,1,,,"",,,2,2,1,,1,302,2,4,2,2,701,10110377669,20001008,2054,"CA",30,4,4,4,2,,,3,,,"",85,1,2,2,2,,,3,,,"",,,,,,,,,,"",,,,,,,,,"",,0,75,30,80,,65,,,,,,,2,1,"education",2,2,3,1,2,1,2,4,,1,2,2,2,1,2,,,1,,,,,,,,,2,,,,,,2,,1,2,1,,2,1,,,2,,,,,,2,,1,,3,2,3,1,1,1,,2,2,,2,1,,,,,2,,,,,,,,,,,1,2,,2,1,,,,,,,2,2,,,,2,1,,1,3,,1,,,,,,,,,,,,,,,,3,,2,,,,,,,,2,2,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,2,,1,0,0,,,,,,,,2,1,,,,0,0,,"",,,,,0,,,,,,,,,"",,,,,,"",,,,,,"",,,,,,"",1,0,,,,,,,,3,,2,2,3,9,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,"",,,,"",,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,3,,2,,,4,,1,,,,3,,,3,,,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,"",,"",,,2,,,,2,1,,1,,1,4,2,,,,,"",,,,,,,,,,,,,,,"",1,2,,,,2431,,,,,,,2,,,,,,,"",,,,,"",,"",,,,,,,,"",,,,,"",,,2,"",2,,3,,,,,2,,1,1,599,2,1,1,2
101,10110416435,20000928,1752,,"FL",70,3,3,3,2,,,3,2,,"",50,3,2,2,2,,,2,3,,"",101,,,,,,,,,"",101,,,,,,,,,"",,,,,,,102,,"",101,101,101,,,0,,,101,,,1,1,"kids that have no dicapline",2,2,1,1,,,1,1,3,,,,2,,,,1,,1,,,1,,1,1,,,,,,,,,,,1,,,2,,,,,,,,,,2,,,,,1,998,,,2,,2,1,2,,1,,,,,,,,,,,,,1,,,,,,,,2,,,2,2,,,,,,,,,,,,,,,,,,,,1,1,998,,,1,,,,,,,,1,2,1,998,,,,998,998,,3,,,,1,1,,,,,,,,2,1,,,,,2,,1,998,998,,1,,,,4,1,,,,2,2,3,,,,,,,,,,,,,,1,2,3,1,,,,,2,,2,,2,,50,50,,20,50,20,90,,,20,10,998,,,,,,,,,,,,,,,,,,,,998,998,,,998,,,998,0,0,,,,5,4,,,5,,1,7,28,"",4,,,1,19,,,,,"mj and bj",1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,"",,,,"",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,2,0,,,,0,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,2,,,,,,,,,,,,,,,,,998,,,998,998,998,998,,,,2,1,1,,,,,,,,,,,,2,,,,,,,"",,2,,,,2,1,,1,,,,,,,,,"",,,,,,,,,,,,,,,,,,2,2,,,,3214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,"",1,"bush and gore",,,,,998,"",,"",,2,4,2,1,2,,,"",998,"",,101,50,998,"",,,3,"",2,1,4,,2,29,1,"",2,,"",9,1,1,2,,4,"",1,5,3,,7,"unitarian",2,4,1,2,5,,,2,,2,2,8,2,2,1,,,"",,,1,1,2,,1,30,1,1,1,3,701,10110416435,20001007,1315,"FL",50,2,2,2,2,,,2,,,"",50,3,2,3,2,,,2,,,"",,,,,,,,,,"",,,,,,,,,"",,30,101,102,102,,10,,,,,,,1,1,"crime.rate of murders and robberies .more young people getting into trouble than normal.",2,2,1,3,1,1,3,3,,,2,2,1,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,2,,1,2,,,2,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,1,2,,,2,,,,,,,,2,,1,1,,,,1,2,,,,,,,,,,1,,2,,,,1,2,2,,2,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,1,0,0,,,,,,,,6,3,,,,3,6,28,"",4,,,,0,,,,,,,,,"",,,,,,"",,,,,,"",,,,,,"",1,7,,,,,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,"",,,,"",,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,"",,"",,,1,,,,1,,1,1,,2,,2,,,,,"",,,,,,,,,,,,,,,"",1,1,,,,1432,,,,,,,2,,,,,,,"",,,,,"",,"",,,,,,,,"",,,,,"",,,3,"",2,1,4,,,,,1,,2,1,356,2,1,1,4
